------------------------------------------------------------------------------------------------------------
  Benchmark    Executor   Suite                     Extra   Core   Size   Var   #Samples   Mean (ms)  
------------------------------------------------------------------------------------------------------------
  Json         Runner     NoSlowdown-100              100      1            1                    500    68  
  Richards     Runner     NoSlowdown-100              100      1            1                    500    83  
  Richards     Runner     NoSlowdown-100              100      1           10                    500    83  
  Json         Runner     NoSlowdown-100              100      1           10                    500    68  
  Richards     Runner     NoSlowdown-100              100      1            2                    500    83  
  Json         Runner     NoSlowdown-100              100      1            2                    500    68  
  Richards     Runner     NoSlowdown-100              100      1            3                    500    83  
  Json         Runner     NoSlowdown-100              100      1            3                    500    68  
  Json         Runner     NoSlowdown-100              100      1            4                    500    68  
  Richards     Runner     NoSlowdown-100              100      1            4                    500    83  
  Richards     Runner     NoSlowdown-100              100      1            5                    500    83  
  Json         Runner     NoSlowdown-100              100      1            5                    500    68  
  Json         Runner     NoSlowdown-100              100      1            6                    500    68  
  Richards     Runner     NoSlowdown-100              100      1            6                    500    83  
  Richards     Runner     NoSlowdown-100              100      1            7                    500    83  
  Json         Runner     NoSlowdown-100              100      1            7                    500    68  
  Json         Runner     NoSlowdown-100              100      1            8                    500    69  
  Richards     Runner     NoSlowdown-100              100      1            8                    500    82  
  Richards     Runner     NoSlowdown-100              100      1            9                    500    83  
  Json         Runner     NoSlowdown-100              100      1            9                    500    68  
  CD           Runner     NoSlowdown-100             1000      1            1                    500   111  
  CD           Runner     NoSlowdown-100             1000      1           10                    500   111  
  CD           Runner     NoSlowdown-100             1000      1            2                    500   111  
  CD           Runner     NoSlowdown-100             1000      1            3                    500   111  
  CD           Runner     NoSlowdown-100             1000      1            4                    500   111  
  CD           Runner     NoSlowdown-100             1000      1            5                    500   111  
  CD           Runner     NoSlowdown-100             1000      1            6                    500   110  
  CD           Runner     NoSlowdown-100             1000      1            7                    500   111  
  CD           Runner     NoSlowdown-100             1000      1            8                    500   111  
  CD           Runner     NoSlowdown-100             1000      1            9                    500   111  
  Sieve        Runner     NoSlowdown-100            10000      1            1                    500   181  
  Bounce       Runner     NoSlowdown-100            10000      1            1                    500   114  
  List         Runner     NoSlowdown-100            10000      1            1                    500   178  
  Sieve        Runner     NoSlowdown-100            10000      1           10                    500   183  
  List         Runner     NoSlowdown-100            10000      1           10                    500   178  
  Bounce       Runner     NoSlowdown-100            10000      1           10                    500   114  
  Bounce       Runner     NoSlowdown-100            10000      1            2                    500   114  
  Sieve        Runner     NoSlowdown-100            10000      1            2                    500   183  
  List         Runner     NoSlowdown-100            10000      1            2                    500   178  
  List         Runner     NoSlowdown-100            10000      1            3                    500   178  
  Sieve        Runner     NoSlowdown-100            10000      1            3                    500   183  
  Bounce       Runner     NoSlowdown-100            10000      1            3                    500   115  
  Bounce       Runner     NoSlowdown-100            10000      1            4                    500   114  
  Sieve        Runner     NoSlowdown-100            10000      1            4                    500   181  
  List         Runner     NoSlowdown-100            10000      1            4                    500   178  
  Sieve        Runner     NoSlowdown-100            10000      1            5                    500   183  
  Bounce       Runner     NoSlowdown-100            10000      1            5                    500   114  
  List         Runner     NoSlowdown-100            10000      1            5                    500   178  
  Sieve        Runner     NoSlowdown-100            10000      1            6                    500   182  
  Bounce       Runner     NoSlowdown-100            10000      1            6                    500   114  
  List         Runner     NoSlowdown-100            10000      1            6                    500   178  
  Sieve        Runner     NoSlowdown-100            10000      1            7                    500   183  
  Bounce       Runner     NoSlowdown-100            10000      1            7                    500   114  
  List         Runner     NoSlowdown-100            10000      1            7                    500   178  
  Sieve        Runner     NoSlowdown-100            10000      1            8                    500   181  
  List         Runner     NoSlowdown-100            10000      1            8                    500   178  
  Bounce       Runner     NoSlowdown-100            10000      1            8                    500   115  
  Bounce       Runner     NoSlowdown-100            10000      1            9                    500   114  
  List         Runner     NoSlowdown-100            10000      1            9                    500   178  
  Sieve        Runner     NoSlowdown-100            10000      1            9                    500   181  
