Benchmark,Suite,Var,Mean
Json,NoSlowdown-100,2,67
Richards,NoSlowdown-100,2,82
Json,NoSlowdown-100,3,67
Richards,NoSlowdown-100,3,82
Json,NoSlowdown-100,4,67
Richards,NoSlowdown-100,4,82
Richards,NoSlowdown-100,5,82
Json,NoSlowdown-100,5,67
CD,NoSlowdown-100,2,110
CD,NoSlowdown-100,3,110
CD,NoSlowdown-100,4,110
CD,NoSlowdown-100,5,110
Bounce,NoSlowdown-100,2,116
List,NoSlowdown-100,2,178
Sieve,NoSlowdown-100,2,181
List,NoSlowdown-100,3,178
Sieve,NoSlowdown-100,3,181
Bounce,NoSlowdown-100,3,116
Sieve,NoSlowdown-100,4,181
Bounce,NoSlowdown-100,4,115
List,NoSlowdown-100,4,180
Sieve,NoSlowdown-100,5,181
List,NoSlowdown-100,5,179
Bounce,NoSlowdown-100,5,114
NBody,NoSlowdown-100,2,108
NBody,NoSlowdown-100,3,108
NBody,NoSlowdown-100,4,108
NBody,NoSlowdown-100,5,108
Storage,NoSlowdown-100,2,148
Storage,NoSlowdown-100,3,148
Storage,NoSlowdown-100,4,148
Storage,NoSlowdown-100,5,148
Towers,NoSlowdown-100,2,113
Towers,NoSlowdown-100,3,113
Towers,NoSlowdown-100,4,113
Towers,NoSlowdown-100,5,113
Permute,NoSlowdown-100,2,97
Permute,NoSlowdown-100,3,97
Permute,NoSlowdown-100,4,97
Permute,NoSlowdown-100,5,97
Queens,NoSlowdown-100,2,71
Queens,NoSlowdown-100,3,71
Queens,NoSlowdown-100,4,71
Queens,NoSlowdown-100,5,71
DeltaBlue,NoSlowdown-100,2,217
DeltaBlue,NoSlowdown-100,3,218
DeltaBlue,NoSlowdown-100,4,218
DeltaBlue,NoSlowdown-100,5,217
Mandelbrot,NoSlowdown-100,2,128
Mandelbrot,NoSlowdown-100,3,128
Mandelbrot,NoSlowdown-100,4,128
Mandelbrot,NoSlowdown-100,5,128
Richards,NoSlowdown-150,2,82
Json,NoSlowdown-150,2,67
Richards,NoSlowdown-150,3,82
Json,NoSlowdown-150,3,67
Json,NoSlowdown-150,4,67
Richards,NoSlowdown-150,4,83
Richards,NoSlowdown-150,5,83
Json,NoSlowdown-150,5,67
CD,NoSlowdown-150,2,110
CD,NoSlowdown-150,3,110
CD,NoSlowdown-150,4,110
CD,NoSlowdown-150,5,110
Bounce,NoSlowdown-150,2,115
List,NoSlowdown-150,2,178
Sieve,NoSlowdown-150,2,181
List,NoSlowdown-150,3,177
Sieve,NoSlowdown-150,3,181
Bounce,NoSlowdown-150,3,116
Sieve,NoSlowdown-150,4,181
Bounce,NoSlowdown-150,4,116
List,NoSlowdown-150,4,178
List,NoSlowdown-150,5,179
Sieve,NoSlowdown-150,5,181
Bounce,NoSlowdown-150,5,116
NBody,NoSlowdown-150,2,109
NBody,NoSlowdown-150,3,108
NBody,NoSlowdown-150,4,108
NBody,NoSlowdown-150,5,108
Storage,NoSlowdown-150,2,93
Storage,NoSlowdown-150,3,93
Storage,NoSlowdown-150,4,93
Storage,NoSlowdown-150,5,94
Towers,NoSlowdown-150,2,113
Towers,NoSlowdown-150,3,113
Towers,NoSlowdown-150,4,113
Towers,NoSlowdown-150,5,113
Permute,NoSlowdown-150,2,97
Permute,NoSlowdown-150,3,97
Permute,NoSlowdown-150,4,97
Permute,NoSlowdown-150,5,97
Queens,NoSlowdown-150,2,71
Queens,NoSlowdown-150,3,71
Queens,NoSlowdown-150,4,71
Queens,NoSlowdown-150,5,71
DeltaBlue,NoSlowdown-150,2,217
DeltaBlue,NoSlowdown-150,3,218
DeltaBlue,NoSlowdown-150,4,218
DeltaBlue,NoSlowdown-150,5,217
Mandelbrot,NoSlowdown-150,2,128
Mandelbrot,NoSlowdown-150,3,128
Mandelbrot,NoSlowdown-150,4,128
Mandelbrot,NoSlowdown-150,5,128
Json,NoSlowdown-50,2,67
Richards,NoSlowdown-50,2,82
Json,NoSlowdown-50,3,67
Richards,NoSlowdown-50,3,82
Json,NoSlowdown-50,4,67
Richards,NoSlowdown-50,4,82
Json,NoSlowdown-50,5,67
Richards,NoSlowdown-50,5,82
CD,NoSlowdown-50,2,110
CD,NoSlowdown-50,3,110
CD,NoSlowdown-50,4,110
CD,NoSlowdown-50,5,110
Sieve,NoSlowdown-50,2,181
Bounce,NoSlowdown-50,2,115
List,NoSlowdown-50,2,177
Sieve,NoSlowdown-50,3,181
List,NoSlowdown-50,3,177
Bounce,NoSlowdown-50,3,116
List,NoSlowdown-50,4,178
Bounce,NoSlowdown-50,4,115
Sieve,NoSlowdown-50,4,178
List,NoSlowdown-50,5,178
Bounce,NoSlowdown-50,5,114
Sieve,NoSlowdown-50,5,181
NBody,NoSlowdown-50,2,108
NBody,NoSlowdown-50,3,108
NBody,NoSlowdown-50,4,108
NBody,NoSlowdown-50,5,108
Storage,NoSlowdown-50,2,148
Storage,NoSlowdown-50,3,148
Storage,NoSlowdown-50,4,148
Storage,NoSlowdown-50,5,148
Towers,NoSlowdown-50,2,114
Towers,NoSlowdown-50,3,113
Towers,NoSlowdown-50,4,114
Towers,NoSlowdown-50,5,113
Permute,NoSlowdown-50,2,97
Permute,NoSlowdown-50,3,97
Permute,NoSlowdown-50,4,97
Permute,NoSlowdown-50,5,97
Queens,NoSlowdown-50,2,71
Queens,NoSlowdown-50,3,71
Queens,NoSlowdown-50,4,71
Queens,NoSlowdown-50,5,71
DeltaBlue,NoSlowdown-50,2,218
DeltaBlue,NoSlowdown-50,3,219
DeltaBlue,NoSlowdown-50,4,218
DeltaBlue,NoSlowdown-50,5,218
Mandelbrot,NoSlowdown-50,2,128
Mandelbrot,NoSlowdown-50,3,128
Mandelbrot,NoSlowdown-50,4,128
Mandelbrot,NoSlowdown-50,5,128
Havlak,NoSlowdown-100,2,199
Havlak,NoSlowdown-100,3,200
Havlak,NoSlowdown-100,4,198
Havlak,NoSlowdown-100,5,199
Havlak,NoSlowdown-150,2,200
Havlak,NoSlowdown-150,3,200
Havlak,NoSlowdown-150,4,198
Havlak,NoSlowdown-150,5,198
Havlak,NoSlowdown-50,2,198
Havlak,NoSlowdown-50,3,198
Havlak,NoSlowdown-50,4,197
Havlak,NoSlowdown-50,5,197
Json,Slowdown-100,2,132
Richards,Slowdown-100,2,173
Richards,Slowdown-100,3,173
Json,Slowdown-100,3,132
Json,Slowdown-100,4,132
Richards,Slowdown-100,4,173
Richards,Slowdown-100,5,173
Json,Slowdown-100,5,132
CD,Slowdown-100,2,208
CD,Slowdown-100,3,208
CD,Slowdown-100,4,209
CD,Slowdown-100,5,209
Bounce,Slowdown-100,2,228
Sieve,Slowdown-100,2,362
List,Slowdown-100,2,391
List,Slowdown-100,3,390
Sieve,Slowdown-100,3,364
Bounce,Slowdown-100,3,228
Bounce,Slowdown-100,4,227
Sieve,Slowdown-100,4,363
List,Slowdown-100,4,390
Bounce,Slowdown-100,5,228
Sieve,Slowdown-100,5,362
List,Slowdown-100,5,390
NBody,Slowdown-100,2,216
NBody,Slowdown-100,3,217
NBody,Slowdown-100,4,216
NBody,Slowdown-100,5,216
Storage,Slowdown-100,2,306
Storage,Slowdown-100,3,307
Storage,Slowdown-100,4,307
Storage,Slowdown-100,5,306
Towers,Slowdown-100,2,233
Towers,Slowdown-100,3,233
Towers,Slowdown-100,4,233
Towers,Slowdown-100,5,234
Permute,Slowdown-100,2,192
Permute,Slowdown-100,3,193
Permute,Slowdown-100,4,192
Permute,Slowdown-100,5,192
Queens,Slowdown-100,2,136
Queens,Slowdown-100,3,136
Queens,Slowdown-100,4,136
Queens,Slowdown-100,5,136
DeltaBlue,Slowdown-100,2,397
DeltaBlue,Slowdown-100,3,390
DeltaBlue,Slowdown-100,4,392
DeltaBlue,Slowdown-100,5,389
Mandelbrot,Slowdown-100,2,259
Mandelbrot,Slowdown-100,3,259
Mandelbrot,Slowdown-100,4,259
Mandelbrot,Slowdown-100,5,259
Richards,Slowdown-150,2,200
Json,Slowdown-150,2,160
Json,Slowdown-150,3,160
Richards,Slowdown-150,3,200
Json,Slowdown-150,4,160
Richards,Slowdown-150,4,201
Json,Slowdown-150,5,160
Richards,Slowdown-150,5,200
CD,Slowdown-150,2,243
CD,Slowdown-150,3,243
CD,Slowdown-150,4,243
CD,Slowdown-150,5,243
List,Slowdown-150,2,491
Bounce,Slowdown-150,2,276
Sieve,Slowdown-150,2,453
Bounce,Slowdown-150,3,275
Sieve,Slowdown-150,3,448
List,Slowdown-150,3,491
List,Slowdown-150,4,491
Bounce,Slowdown-150,4,275
Sieve,Slowdown-150,4,449
Bounce,Slowdown-150,5,276
List,Slowdown-150,5,492
Sieve,Slowdown-150,5,449
NBody,Slowdown-150,2,270
NBody,Slowdown-150,3,270
NBody,Slowdown-150,4,270
NBody,Slowdown-150,5,270
Storage,Slowdown-150,2,249
Storage,Slowdown-150,3,249
Storage,Slowdown-150,4,249
Storage,Slowdown-150,5,249
Towers,Slowdown-150,2,295
Towers,Slowdown-150,3,295
Towers,Slowdown-150,4,295
Towers,Slowdown-150,5,295
Permute,Slowdown-150,2,238
Permute,Slowdown-150,3,239
Permute,Slowdown-150,4,238
Permute,Slowdown-150,5,238
Queens,Slowdown-150,2,170
Queens,Slowdown-150,3,170
Queens,Slowdown-150,4,170
Queens,Slowdown-150,5,170
DeltaBlue,Slowdown-150,2,476
DeltaBlue,Slowdown-150,3,471
DeltaBlue,Slowdown-150,4,473
DeltaBlue,Slowdown-150,5,470
Mandelbrot,Slowdown-150,2,326
Mandelbrot,Slowdown-150,3,326
Mandelbrot,Slowdown-150,4,326
Mandelbrot,Slowdown-150,5,326
Json,Slowdown-50,2,101
Richards,Slowdown-50,2,122
CD,Slowdown-50,2,161
List,Slowdown-50,2,276
Sieve,Slowdown-50,2,273
Bounce,Slowdown-50,2,178
NBody,Slowdown-50,2,162
Storage,Slowdown-50,2,232
Towers,Slowdown-50,2,179
Permute,Slowdown-50,2,142
Queens,Slowdown-50,2,106
DeltaBlue,Slowdown-50,2,310
Mandelbrot,Slowdown-50,2,196
Havlak,Slowdown-100,2,438
Havlak,Slowdown-150,2,505
Havlak,Slowdown-50,2,298
Richards,NoSlowdown-100,1,83
Json,NoSlowdown-100,1,67
CD,NoSlowdown-100,1,109
Bounce,NoSlowdown-100,1,116
Sieve,NoSlowdown-100,1,178
List,NoSlowdown-100,1,177
NBody,NoSlowdown-100,1,108
Storage,NoSlowdown-100,1,148
Towers,NoSlowdown-100,1,113
Permute,NoSlowdown-100,1,97
Queens,NoSlowdown-100,1,71
DeltaBlue,NoSlowdown-100,1,217
Mandelbrot,NoSlowdown-100,1,128
Richards,NoSlowdown-150,1,83
Json,NoSlowdown-150,1,67
CD,NoSlowdown-150,1,109
List,NoSlowdown-150,1,178
Bounce,NoSlowdown-150,1,114
Sieve,NoSlowdown-150,1,178
NBody,NoSlowdown-150,1,108
Storage,NoSlowdown-150,1,93
Towers,NoSlowdown-150,1,113
Permute,NoSlowdown-150,1,97
Queens,NoSlowdown-150,1,71
DeltaBlue,NoSlowdown-150,1,216
Mandelbrot,NoSlowdown-150,1,128
Richards,NoSlowdown-50,1,82
Json,NoSlowdown-50,1,67
CD,NoSlowdown-50,1,109
Bounce,NoSlowdown-50,1,115
Sieve,NoSlowdown-50,1,178
List,NoSlowdown-50,1,177
NBody,NoSlowdown-50,1,108
Storage,NoSlowdown-50,1,148
Towers,NoSlowdown-50,1,113
Permute,NoSlowdown-50,1,97
Queens,NoSlowdown-50,1,71
DeltaBlue,NoSlowdown-50,1,216
Mandelbrot,NoSlowdown-50,1,128
Havlak,NoSlowdown-100,1,199
Havlak,NoSlowdown-150,1,197
Havlak,NoSlowdown-50,1,195
Json,Slowdown-100,1,132
Richards,Slowdown-100,1,173
CD,Slowdown-100,1,216
List,Slowdown-100,1,359
Bounce,Slowdown-100,1,227
Sieve,Slowdown-100,1,362
NBody,Slowdown-100,1,216
Storage,Slowdown-100,1,306
Towers,Slowdown-100,1,233
Permute,Slowdown-100,1,192
Queens,Slowdown-100,1,136
DeltaBlue,Slowdown-100,1,396
Mandelbrot,Slowdown-100,1,259
Richards,Slowdown-150,1,201
Json,Slowdown-150,1,160
CD,Slowdown-150,1,256
Bounce,Slowdown-150,1,276
Sieve,Slowdown-150,1,449
List,Slowdown-150,1,439
NBody,Slowdown-150,1,270
Storage,Slowdown-150,1,251
Towers,Slowdown-150,1,295
Permute,Slowdown-150,1,238
Queens,Slowdown-150,1,171
DeltaBlue,Slowdown-150,1,483
Mandelbrot,Slowdown-150,1,326
Json,Slowdown-50,1,101
Richards,Slowdown-50,1,122
CD,Slowdown-50,1,161
List,Slowdown-50,1,276
Sieve,Slowdown-50,1,273
Bounce,Slowdown-50,1,178
NBody,Slowdown-50,1,162
Storage,Slowdown-50,1,232
Towers,Slowdown-50,1,179
Permute,Slowdown-50,1,142
Queens,Slowdown-50,1,106
DeltaBlue,Slowdown-50,1,310
Mandelbrot,Slowdown-50,1,196
Havlak,Slowdown-100,1,438
Havlak,Slowdown-150,1,505
Havlak,Slowdown-50,1,298
