Benchmark,Suite,Var,Mean
Json,NoSlowdown-100,1,68
Richards,NoSlowdown-100,1,83
Richards,NoSlowdown-100,10,83
Json,NoSlowdown-100,10,68
Richards,NoSlowdown-100,2,83
Json,NoSlowdown-100,2,68
Richards,NoSlowdown-100,3,83
Json,NoSlowdown-100,3,68
Json,NoSlowdown-100,4,68
Richards,NoSlowdown-100,4,83
Richards,NoSlowdown-100,5,83
Json,NoSlowdown-100,5,68
Json,NoSlowdown-100,6,68
Richards,NoSlowdown-100,6,83
Richards,NoSlowdown-100,7,83
Json,NoSlowdown-100,7,68
Json,NoSlowdown-100,8,69
Richards,NoSlowdown-100,8,82
Richards,NoSlowdown-100,9,83
Json,NoSlowdown-100,9,68
CD,NoSlowdown-100,1,111
CD,NoSlowdown-100,10,111
CD,NoSlowdown-100,2,111
CD,NoSlowdown-100,3,111
CD,NoSlowdown-100,4,111
CD,NoSlowdown-100,5,111
CD,NoSlowdown-100,6,110
CD,NoSlowdown-100,7,111
CD,NoSlowdown-100,8,111
CD,NoSlowdown-100,9,111
Sieve,NoSlowdown-100,1,181
Bounce,NoSlowdown-100,1,114
List,NoSlowdown-100,1,178
Sieve,NoSlowdown-100,10,183
List,NoSlowdown-100,10,178
Bounce,NoSlowdown-100,10,114
Bounce,NoSlowdown-100,2,114
Sieve,NoSlowdown-100,2,183
List,NoSlowdown-100,2,178
List,NoSlowdown-100,3,178
Sieve,NoSlowdown-100,3,183
Bounce,NoSlowdown-100,3,115
Bounce,NoSlowdown-100,4,114
Sieve,NoSlowdown-100,4,181
List,NoSlowdown-100,4,178
Sieve,NoSlowdown-100,5,183
Bounce,NoSlowdown-100,5,114
List,NoSlowdown-100,5,178
Sieve,NoSlowdown-100,6,182
Bounce,NoSlowdown-100,6,114
List,NoSlowdown-100,6,178
Sieve,NoSlowdown-100,7,183
Bounce,NoSlowdown-100,7,114
List,NoSlowdown-100,7,178
Sieve,NoSlowdown-100,8,181
List,NoSlowdown-100,8,178
Bounce,NoSlowdown-100,8,115
Bounce,NoSlowdown-100,9,114
List,NoSlowdown-100,9,178
Sieve,NoSlowdown-100,9,181
NBody,NoSlowdown-100,1,108
NBody,NoSlowdown-100,10,108
NBody,NoSlowdown-100,2,108
NBody,NoSlowdown-100,3,108
NBody,NoSlowdown-100,4,109
NBody,NoSlowdown-100,5,108
NBody,NoSlowdown-100,6,108
NBody,NoSlowdown-100,7,108
NBody,NoSlowdown-100,8,108
NBody,NoSlowdown-100,9,108
Storage,NoSlowdown-100,1,151
Storage,NoSlowdown-100,10,151
Storage,NoSlowdown-100,2,151
Storage,NoSlowdown-100,3,151
Storage,NoSlowdown-100,4,151
Storage,NoSlowdown-100,5,151
Storage,NoSlowdown-100,6,150
Storage,NoSlowdown-100,7,151
Storage,NoSlowdown-100,8,151
Storage,NoSlowdown-100,9,151
Towers,NoSlowdown-100,1,114
Towers,NoSlowdown-100,10,113
Towers,NoSlowdown-100,2,114
Towers,NoSlowdown-100,3,113
Towers,NoSlowdown-100,4,113
Towers,NoSlowdown-100,5,114
Towers,NoSlowdown-100,6,113
Towers,NoSlowdown-100,7,114
Towers,NoSlowdown-100,8,114
Towers,NoSlowdown-100,9,113
Permute,NoSlowdown-100,1,97
Permute,NoSlowdown-100,10,97
Permute,NoSlowdown-100,2,97
Permute,NoSlowdown-100,3,97
Permute,NoSlowdown-100,4,97
Permute,NoSlowdown-100,5,97
Permute,NoSlowdown-100,6,97
Permute,NoSlowdown-100,7,97
