#!/home/hb478/.local/bin/rebench CollectRunTimes.conf
# Execution Start: 2025-03-17T22:37:43.940974+00:00
# Environment: {"userName": "hb478", "manualRun": true, "hostName": "LIN-HB478-1", "osType": "Linux", "memory": 16264888320, "denoise": {}, "cpu": "Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz", "clockSpeed": 3300000000, "software": [{"name": "kernel", "version": "#1 SMP PREEMPT_DYNAMIC Tue Nov 26 17:24:29 UTC 2024"}, {"name": "kernel-release", "version": "5.14.0-503.15.1.el9_5.x86_64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": "https://github.com/HumphreyHCB/GTResearchExperiments.git", "branchOrTag": "main", "commitId": "c5172f1ec769c9df723c5a3be76ff4bea219ddae", "commitMsg": "Extreamly useful Scripts and readers for all the RawData\n", "authorName": "Humphrey Burchell", "committerName": "Humphrey Burchell", "authorEmail": "humphreyburchell@gmail.com", "committerEmail": "humphreyburchell@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	1472.953000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	2	400.517000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	3	316.298000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	4	316.526000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	5	309.874000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	6	325.378000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	7	331.800000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	8	325.110000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	9	405.754000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	10	357.815000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	11	443.703000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	12	464.886000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	13	292.336000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	14	379.734000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	15	302.773000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	16	304.811000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	17	304.794000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	18	295.708000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	19	292.304000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	20	293.426000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	21	295.634000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	22	292.181000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	23	291.779000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	24	333.778000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	25	291.466000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	26	304.436000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	27	301.159000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	28	293.624000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
1	29	296.017000	ms	total	Havlak	Runner	Slowdown-Havlak-50	15000	1		1	
