FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
100_10_Bounce_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Bounce,NoSlowdown,"Bounce$Ball.bounce",65.81,"Bounce.benchmark",22.51,"java.lang.Math.abs",4.64,"Bounce$Ball.<init>",3.76,"java.util.Arrays.setAll",1.24
100_10_Bounce_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Bounce,Slowdown,"Bounce$Ball.bounce",58.14,"Bounce.benchmark",31.92,"java.lang.Math.abs",3.59,"Bounce$Ball.<init>",2.80,"som.Random.next",1.72
100_10_CD_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,CD,NoSlowdown,"cd.RedBlackTree.treeInsert",18.74,"cd.CollisionDetector.isInVoxel",11.76,"cd.RedBlackTree.put",10.05,"cd.Vector2D.compareTo",9.75,"cd.RedBlackTree.findNode",6.91
100_10_CD_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,CD,Slowdown,"cd.RedBlackTree.treeInsert",19.81,"cd.CollisionDetector.isInVoxel",13.69,"cd.RedBlackTree.put",12.65,"cd.RedBlackTree.findNode",6.95,"cd.Vector2D.compareTo",6.09
100_10_DeltaBlue_NoSlowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,DeltaBlue,NoSlowdown,"java.util.Vector$Itr.next",61.72,"deltablue.Plan.execute",6.32,"java.util.Vector.elementData",4.36,"som.Vector.forEach",2.92,"deltablue.Planner$$Lambda.apply",2.30
100_10_DeltaBlue_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,DeltaBlue,Slowdown,"java.util.Vector$Itr.next",60.34,"deltablue.Plan.execute",5.25,"java.util.Vector.elementData",3.85,"deltablue.ScaleConstraint.execute",3.12,"som.Vector.forEach",2.98
100_10_Havlak_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Havlak,NoSlowdown,"som.Vector.hasSome",36.26,"som.Vector.<init>",15.56,"som.Vector.append",7.33,"havlak.HavlakLoopFinder.findLoops",5.45,"som.Vector.forEach",4.31
100_10_Havlak_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Havlak,Slowdown,"som.Vector.hasSome",37.44,"som.Vector.<init>",20.42,"som.Vector.forEach",6.17,"som.Vector.append",5.55,"havlak.HavlakLoopFinder.findLoops",4.44
100_10_Json_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Json,NoSlowdown,"java.lang.String.equals",35.67,"java.lang.StringLatin1.toBytes",10.58,"java.lang.String.valueOf",8.67,"json.JsonPureStringParser.read",8.00,"json.JsonPureStringParser.readStringInternal",3.48
100_10_Json_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Json,Slowdown,"java.lang.String.equals",37.01,"java.lang.StringLatin1.toBytes",9.98,"json.JsonPureStringParser.read",8.70,"java.lang.String.valueOf",6.74,"json.JsonPureStringParser.subStringFromTo",3.74
100_10_List_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,List,NoSlowdown,"List$Element.getNext",44.81,"List.isShorterThan",44.36,"List.tail",9.91,"List.makeList",0.52,"java.lang.Integer.valueOf",0.14
100_10_List_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,List,Slowdown,"List.isShorterThan",65.84,"List$Element.getNext",25.01,"List.tail",8.79,"List.makeList",0.23,"java.lang.Integer.valueOf",0.07
100_10_Mandelbrot_NoSlowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Mandelbrot,NoSlowdown,"Mandelbrot.mandelbrot",99.96,"com.yourkit.probes.ForeignKeyColumn.setValue",0.01,"java.lang.StringCoding.implEncodeAsciiArray",0.01,"jdk.internal.org.objectweb.asm.MethodWriter.visitLabel",0.01,"Method",0.00
100_10_Mandelbrot_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Mandelbrot,Slowdown,"Mandelbrot.mandelbrot",99.98,"com.yourkit.probes.Table.createRow",0.01,"java.lang.StringLatin1.getChars",0.01,"Method",0.00,"Harness.main",0.00
100_10_NBody_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,NBody,NoSlowdown,"nbody.NBodySystem.advance",59.92,"nbody.Body.setVX",14.34,"nbody.Body.getVX",4.13,"nbody.Body.getX",3.59,"nbody.Body.getVZ",3.02
100_10_NBody_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,NBody,Slowdown,"nbody.NBodySystem.advance",59.98,"nbody.Body.setVX",8.48,"nbody.Body.getZ",3.75,"nbody.Body.setVY",3.53,"nbody.Body.getVX",3.52
100_10_Permute_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Permute,NoSlowdown,"Permute.permute",74.73,"Permute.swap",25.18,"Permute.benchmark",0.04,"com.yourkit.probes.Table.createRow",0.02,"java.lang.ClassLoader.defineClass0",0.02
100_10_Permute_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Permute,Slowdown,"Permute.permute",67.44,"Permute.swap",32.47,"sun.management.LazyCompositeData.isTypeMatched",0.02,"Permute.benchmark",0.01,"com.yourkit.probes.Table.ensureCreated",0.01
100_10_Queens_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Queens,NoSlowdown,"Queens.getRowColumn",52.40,"Queens.placeQueen",33.62,"Queens.setRowColumn",11.25,"Queens.queens",1.76,"java.util.Arrays.fill",0.66
