FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
3_9_List_NoSlowdown.txt,3,9,List,NoSlowdown,"List$Element.getNext",45.46,"List.isShorterThan",39.17,"List.tail",14.43,"List.makeList",0.46,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.17
2_4_Richards_NoSlowdown.txt,2,4,Richards,NoSlowdown,"richards.Scheduler.schedule",30.57,"richards.TaskControlBlock.runTask",13.21,"richards.Scheduler$HandlerProcessFunction.apply",9.74,"richards.TaskState.isTaskHoldingOrWaiting",7.32,"richards.Scheduler$DeviceProcessFunction.apply",6.63
3_4_Richards_NoSlowdown.txt,3,4,Richards,NoSlowdown,"richards.Scheduler.schedule",29.13,"richards.TaskControlBlock.runTask",13.89,"richards.Scheduler$HandlerProcessFunction.apply",10.35,"richards.Scheduler$DeviceProcessFunction.apply",6.40,"richards.TaskState.isTaskHoldingOrWaiting",6.33
2_4_Havlak_NoSlowdown.txt,2,4,Havlak,NoSlowdown,"som.Vector.hasSome",32.65,"som.Vector.<init>",12.95,"havlak.HavlakLoopFinder.doDFS",7.18,"som.Vector.append",5.44,"havlak.HavlakLoopFinder.findLoops",5.22
1_2_List_NoSlowdown.txt,1,2,List,NoSlowdown,"List.isShorterThan",45.67,"List$Element.getNext",43.45,"List.tail",9.68,"List.makeList",0.55,"java.lang.Integer.valueOf",0.23
3_5_Havlak_NoSlowdown.txt,3,5,Havlak,NoSlowdown,"som.Vector.hasSome",33.23,"som.Vector.<init>",18.17,"som.Vector.append",6.14,"havlak.HavlakLoopFinder.findLoops",5.08,"som.Vector.forEach",2.94
3_8_Json_NoSlowdown.txt,3,8,Json,NoSlowdown,"java.lang.String.equals",37.76,"json.JsonPureStringParser.isWhiteSpace",8.88,"java.lang.StringLatin1.toBytes",8.45,"json.JsonPureStringParser.read",6.35,"java.lang.String.valueOf",5.43
1_5_Json_NoSlowdown.txt,1,5,Json,NoSlowdown,"java.lang.String.equals",43.57,"java.lang.StringLatin1.toBytes",7.90,"json.JsonPureStringParser.read",7.46,"java.lang.String.valueOf",6.55,"json.JsonPureStringParser.readStringInternal",3.76
3_10_Havlak_NoSlowdown.txt,3,10,Havlak,NoSlowdown,"som.Vector.hasSome",33.14,"som.Vector.<init>",18.53,"som.Vector.append",6.05,"havlak.HavlakLoopFinder.findLoops",4.85,"som.Vector.forEach",3.01
3_8_List_NoSlowdown.txt,3,8,List,NoSlowdown,"List$Element.getNext",45.02,"List.isShorterThan",40.02,"List.tail",13.99,"List.makeList",0.49,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.17
