Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                     Method                                                                                      |   Time (ms)    |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                         |  37,104   99%  |              0  |    3,887  |
|  Run.runBenchmark()                                                                                                                                                             |  37,104   99%  |          < 0.1  |    3,887  |
|  Run.doRuns(Benchmark)                                                                                                                                                          |  37,096   99%  |              0  |    3,886  |
|  Run.measure(Benchmark, int)                                                                                                                                                    |  37,096   99%  |              0  |    3,886  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                              |  37,055   99%  |              0  |    3,882  |
|  Json.benchmark()                                                                                                                                                               |  37,055   99%  |             24  |    3,882  |
|  json.JsonPureStringParser.parse()                                                                                                                                              |  37,030   99%  |              0  |    3,879  |
|  json.JsonPureStringParser.readObject()                                                                                                                                         |  37,030   99%  |             94  |    3,879  |
|  json.JsonPureStringParser.readValue()                                                                                                                                          |  37,030   99%  |            589  |    3,879  |
|  json.JsonPureStringParser.readArray()                                                                                                                                          |  36,943   99%  |            284  |    3,870  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                                 |  18,617   50%  |          1,279  |    1,940  |
|  java.lang.String.equals(Object) String.java                                                                                                                                    |  16,961   45%  |         16,961  |    1,774  |
|  json.JsonPureStringParser.read()                                                                                                                                               |  12,111   32%  |          2,722  |    1,256  |
|  json.JsonPureStringParser.readString()                                                                                                                                         |  12,025   32%  |            109  |    1,258  |
|  json.JsonPureStringParser.readName()                                                                                                                                           |   6,840   18%  |             58  |      707  |
|  java.lang.Character.toString(char) Character.java                                                                                                                              |   6,128   16%  |              0  |      632  |
|  java.lang.String.valueOf(char) String.java                                                                                                                                     |   6,128   16%  |          2,830  |      632  |
|  json.JsonPureStringParser.readNumber()                                                                                                                                         |   5,022   13%  |            117  |      529  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                                     |   4,820   13%  |            226  |      502  |
|  json.JsonPureStringParser.endCapture()                                                                                                                                         |   4,232   11%  |            374  |      449  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                                     |   4,231   11%  |            194  |      445  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                                       |   4,036   11%  |            642  |      425  |
|  json.JsonPureStringParser.subStringFromTo(int, int)                                                                                                                            |   3,858   10%  |            782  |      411  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                          |   3,428    9%  |            284  |      359  |
|  java.lang.StringLatin1.toBytes(char) StringLatin1.java                                                                                                                         |   3,298    9%  |          3,298  |      339  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                            |   2,298    6%  |            342  |      241  |
|  json.JsonPureStringParser.readNull()                                                                                                                                           |   1,618    4%  |             44  |      171  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                                             |   1,185    3%  |             24  |      125  |
|  java.lang.AbstractStringBuilder.append(char) AbstractStringBuilder.java                                                                                                        |   1,142    3%  |            813  |      119  |
|  java.lang.StringBuilder.append(char) StringBuilder.java                                                                                                                        |   1,142    3%  |              0  |      119  |
|  java.lang.StringBuilder.toString() StringBuilder.java                                                                                                                          |     896    2%  |            546  |       98  |
|  som.Vector.append(Object)                                                                                                                                                      |     865    2%  |            785  |       92  |
