Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                   Method                                                                                   |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                    |  95,770   99%  |              0  |    9,709  |
|  Run.runBenchmark()                                                                                                                                                        |  95,770   99%  |          < 0.1  |    9,709  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  95,756   99%  |              0  |    9,707  |
|  Run.measure(Benchmark, int)                                                                                                                                               |  95,756   99%  |              0  |    9,707  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                            |  95,714   99%  |              0  |    9,703  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                        |  95,714   99%  |              8  |    9,703  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                      |  61,016   64%  |          4,020  |    6,167  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                        |  59,301   62%  |             69  |    6,039  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                       |  58,848   61%  |          5,610  |    5,994  |
|  som.Set.add(Object)                                                                                                                                                       |  37,953   40%  |             52  |    3,825  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                         |  36,279   38%  |              0  |    3,650  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                         |  35,888   37%  |         35,367  |    3,610  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                                 |  35,103   37%  |            704  |    3,533  |
|  som.Set.hasSome(TestInterface)                                                                                                                                            |  35,071   37%  |              9  |    3,528  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                                   |  35,010   37%  |             39  |    3,525  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                                |  34,970   36%  |             19  |    3,521  |
|  som.IdentitySet.contains(Object)                                                                                                                                          |  34,692   36%  |              0  |    3,490  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                             |  34,398   36%  |             29  |    3,461  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                                   |  19,747   21%  |              9  |    2,004  |
|  som.Vector.<init>(int)                                                                                                                                                    |  13,918   15%  |         13,918  |    1,413  |
|  som.Vector.<init>()                                                                                                                                                       |  11,990   13%  |              0  |    1,216  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                                    |  11,403   12%  |              9  |    1,164  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                         |   9,825   10%  |             39  |      989  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                      |   8,839    9%  |             49  |      891  |
