Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                         Method                                                                          |   Time (ms)    |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                 |  38,189   99%  |              0  |    4,006  |
|  Run.runBenchmark()                                                                                                                                     |  38,189   99%  |              0  |    4,006  |
|  Run.doRuns(Benchmark)                                                                                                                                  |  38,182   99%  |              0  |    4,005  |
|  Run.measure(Benchmark, int)                                                                                                                            |  38,182   99%  |              0  |    4,005  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                      |  38,122   99%  |              9  |    3,999  |
|  Richards.benchmark()                                                                                                                                   |  38,112   99%  |              2  |    3,998  |
|  richards.Scheduler.start()                                                                                                                             |  38,109   99%  |              0  |    3,997  |
|  richards.Scheduler.schedule()                                                                                                                          |  38,099   99%  |          6,260  |    3,996  |
|  richards.TaskControlBlock.runTask()                                                                                                                    |  22,620   59%  |          6,227  |    2,363  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                            |   8,089   21%  |          8,089  |      856  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                      |   7,707   20%  |          3,206  |      804  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                       |   4,253   11%  |          1,794  |      446  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                 |   3,514    9%  |            479  |      372  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                         |   2,219    6%  |            940  |      230  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                           |   1,558    4%  |            965  |      167  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                       |   1,252    3%  |            829  |      130  |
|  richards.Scheduler.findTask(int)                                                                                                                       |     962    3%  |            962  |      100  |
|  richards.RBObject.append(Packet, Packet)                                                                                                               |     910    2%  |            417  |       96  |
|  richards.TaskControlBlock.getLink()                                                                                                                    |     863    2%  |            863  |       90  |
|  richards.Packet.setLink(Packet)                                                                                                                        |     859    2%  |            859  |       89  |
|  richards.Scheduler.release(int)                                                                                                                        |     710    2%  |             99  |       71  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                               |     669    2%  |            669  |       70  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                       |     626    2%  |            626  |       65  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                     |     612    2%  |            384  |       66  |
|  richards.Scheduler.holdSelf()                                                                                                                          |     602    2%  |            464  |       66  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                       |     502    1%  |            153  |       52  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                            |     408    1%  |            408  |       44  |
|  richards.TaskControlBlock.getIdentity()                                                                                                                |     404    1%  |            404  |       44  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                              |     402    1%  |            402  |       41  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                             |     359    1%  |            359  |       36  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                                        |     349    1%  |            349  |       36  |
|  richards.Packet.getIdentity()                                                                                                                          |     309    1%  |            309  |       33  |
|  richards.TaskState.setPacketPending(boolean)                                                                                                           |     257    1%  |            257  |       26  |
|  richards.Packet.getDatum()                                                                                                                             |     249    1%  |            249  |       26  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                          |     224    1%  |            224  |       23  |
|  richards.TaskState.packetPending()                                                                                                                     |     150    0%  |            150  |       15  |
|  richards.TaskState.running()                                                                                                                           |     138    0%  |            138  |       14  |
|  richards.IdleTaskDataRecord.setCount(int)                                                                                                              |     129    0%  |            129  |       13  |
|  richards.Packet.setIdentity(int)                                                                                                                       |     119    0%  |            119  |       13  |
|  richards.Packet.setDatum(int)                                                                                                                          |      99    0%  |             99  |       11  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                             |      89    0%  |             89  |        9  |
|  Run.printResult(long, int)                                                                                                                             |      59    0%  |          < 0.1  |        6  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                               |      49    0%  |          < 0.1  |        5  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                   |      49    0%  |              0  |        5  |
