Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  38,651   99%  |              0  |    4,053  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  38,651   99%  |              0  |    4,053  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  38,651   99%  |          < 0.1  |    4,053  |
|  Run.runBenchmark()                                                                                                                                                   |  38,651   99%  |              0  |    4,053  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  38,631   99%  |              9  |    4,051  |
|  Richards.benchmark()                                                                                                                                                 |  38,621   99%  |          < 0.1  |    4,050  |
|  richards.Scheduler.schedule()                                                                                                                                        |  38,611   99%  |          6,229  |    4,049  |
|  richards.Scheduler.start()                                                                                                                                           |  38,611   99%  |              0  |    4,049  |
|  richards.TaskControlBlock.runTask()                                                                                                                                  |  23,495   61%  |          6,408  |    2,463  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                                    |   8,202   21%  |          3,227  |      854  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                          |   7,801   20%  |          7,801  |      818  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                                     |   4,510   12%  |          1,968  |      471  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                               |   3,909   10%  |            527  |      404  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                                       |   2,214    6%  |            937  |      239  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                         |   1,579    4%  |          1,095  |      160  |
|  richards.Scheduler.findTask(int)                                                                                                                                     |   1,121    3%  |          1,121  |      118  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                                     |   1,106    3%  |            654  |      117  |
|  richards.Packet.setLink(Packet)                                                                                                                                      |   1,005    3%  |          1,005  |      107  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                             |     897    2%  |            350  |       93  |
|  richards.TaskControlBlock.getLink()                                                                                                                                  |     846    2%  |            846  |       90  |
|  richards.Scheduler.release(int)                                                                                                                                      |     740    2%  |             62  |       81  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                                   |     733    2%  |            472  |       74  |
|  richards.Scheduler.holdSelf()                                                                                                                                        |     729    2%  |            569  |       75  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                                             |     724    2%  |            724  |       74  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                                     |     691    2%  |            691  |       73  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                                     |     550    1%  |            237  |       57  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                                            |     443    1%  |            443  |       45  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                                          |     426    1%  |            426  |       45  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                                                      |     415    1%  |            415  |       43  |
|  richards.Packet.getIdentity()                                                                                                                                        |     402    1%  |            402  |       42  |
|  richards.TaskControlBlock.getIdentity()                                                                                                                              |     398    1%  |            398  |       44  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                                           |     358    1%  |            358  |       40  |
|  richards.Packet.getDatum()                                                                                                                                           |     228    1%  |            228  |       26  |
|  richards.TaskState.running()                                                                                                                                         |     185    0%  |            185  |       19  |
|  richards.TaskState.setPacketPending(boolean)                                                                                                                         |     159    0%  |            159  |       16  |
|  richards.Packet.setIdentity(int)                                                                                                                                     |     147    0%  |            147  |       15  |
|  richards.TaskState.packetPending()                                                                                                                                   |     142    0%  |            142  |       15  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                                        |     119    0%  |            119  |       12  |
|  richards.IdleTaskDataRecord.setCount(int)                                                                                                                            |     109    0%  |            109  |       11  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                                           |      79    0%  |             79  |        8  |
|  richards.Packet.setDatum(int)                                                                                                                                        |      38    0%  |             38  |        4  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                       |      19    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                 |      19    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.implFlush() BufferedOutputStream.java                                                                                                   |      19    0%  |              0  |        2  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                               |      19    0%  |              0  |        2  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                     |      19    0%  |              0  |        2  |
|  java.io.PrintStream.implWrite(byte[], int, int) PrintStream.java                                                                                                     |      19    0%  |              0  |        2  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                                             |      19    0%  |              0  |        2  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                 |      19    0%  |              0  |        2  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                         |      19    0%  |              0  |        2  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                 |      19    0%  |              0  |        2  |
|  Run.printResult(long, int)                                                                                                                                           |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                            |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                        |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.lockedFlushBuffer() StreamEncoder.java                                                                                                      |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                             |      19    0%  |              0  |        2  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                                               |       9    0%  |              0  |        1  |
|  com.yourkit.probes.builtin.Files$FileOutputStream_write_arrayRange_Probe.onEnter(FileOutputStream, int) a                                                            |       9    0%  |              0  |        1  |
|  com.yourkit.probes.Table.createRow(int) a                                                                                                                            |       9    0%  |              0  |        1  |
|  com.yourkit.probes.Table.createRow() a                                                                                                                               |       9    0%  |              9  |        1  |
|  java.io.FileOutputStream.writeBytes(byte[], int, int, boolean) FileOutputStream.java (native)                                                                        |       9    0%  |              9  |        1  |
|  richards.Packet.getLink()                                                                                                                                            |       9    0%  |              9  |        1  |
|  richards.WorkerTaskDataRecord.setCount(int)                                                                                                                          |       9    0%  |              9  |        1  |
|  java.util.Arrays.fill(Object[], Object) Arrays.java                                                                                                                  |       9    0%  |              9  |        1  |
|  richards.Scheduler.<init>()                                                                                                                                          |       9    0%  |              0  |        1  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java                                                    |       3    0%  |              0  |        1  |
|  com.sun.management.GarbageCollectionNotificationInfo.from(CompositeData) GarbageCollectionNotificationInfo.java                                                      |       3    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.validateCompositeData(CompositeData) GarbageCollectionNotifInfoCompositeData.java                |       3    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |       3    0%  |              0  |        2  |
|  com.yourkit.am.av.invoke(Object, Object[]) a                                                                                                                         |       3    0%  |              0  |        1  |
|  com.yourkit.probes.GcPauseCounter$GcListener.handleNotification(Notification, Object) a                                                                              |       3    0%  |              0  |        1  |
|  com.yourkit.probes.ReflectionUtilImpl.callMethod1(Class, Object, String, Object, CallStatus) a                                                                       |       3    0%  |              0  |        1  |
|  com.yourkit.runtime.JniMethod.callObjectMethodImpl(Class, Object, long, long, Object[], long[]) a                                                                    |       3    0%  |              0  |        1  |
|  java.util.stream.ReferencePipeline.allMatch(Predicate) ReferencePipeline.java                                                                                        |       3    0%  |              3  |        1  |
|  sun.management.LazyCompositeData.isTypeMatched(CompositeType, CompositeType) LazyCompositeData.java                                                                  |       3    0%  |              0  |        1  |
|  sun.management.NotificationEmitterSupport.sendNotification(Notification) NotificationEmitterSupport.java                                                             |       3    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                  |       0    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java  |       0    0%  |              0  |        1  |
|  com.sun.management.internal.GcInfoBuilder.getGcInfoCompositeType() GcInfoBuilder.java                                                                                |       0    0%  |              0  |        1  |
|  com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java                                                                          |       0    0%  |              0  |        1  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                     |       0    0%  |              0  |        1  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                       |       0    0%  |              0  |        1  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                    |       0    0%  |              0  |        1  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                |       0    0%  |              0  |        1  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                    |       0    0%  |              0  |        1  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                              |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                         |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                            |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandles.argumentsWithCombiner(boolean, MethodHandle, int, MethodHandle, int[]) MethodHandles.java                                             |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandles.foldArgumentsWithCombiner(MethodHandle, int, MethodHandle, int[]) MethodHandles.java                                                  |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodType.dropParameterTypes(int, int) MethodType.java                                                                                             |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodType.hashCode() MethodType.java                                                                                                               |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodType.makeImpl(Class, Class[], boolean) MethodType.java                                                                                        |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodType.methodType(Class, Class[], boolean) MethodType.java                                                                                      |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodType$ConcurrentWeakInternSet.get(Object) MethodType.java                                                                                      |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodTypeForm.canonicalize(MethodType, int) MethodTypeForm.java                                                                                    |       0    0%  |              0  |        1  |
|  java.lang.invoke.MethodTypeForm.findForm(MethodType) MethodTypeForm.java                                                                                             |       0    0%  |              0  |        1  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, String[]) StringConcatFactory.java                                                             |       0    0%  |              0  |        1  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                    |       0    0%  |              0  |        1  |
|  java.util.concurrent.ConcurrentHashMap.get(Object) ConcurrentHashMap.java                                                                                            |       0    0%  |              0  |        1  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+

Generated by YourKit Java Profiler 2024.9-b163 February 19, 2025 11:32:27
