Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                 Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                |  39,098  100%  |              0  |    4,100  |
|  Run.doRuns(Benchmark)                                                                                                                                                 |  39,098  100%  |              0  |    4,100  |
|  Run.measure(Benchmark, int)                                                                                                                                           |  39,098  100%  |          < 0.1  |    4,100  |
|  Run.runBenchmark()                                                                                                                                                    |  39,098  100%  |              0  |    4,100  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                     |  39,088   99%  |              0  |    4,099  |
|  Richards.benchmark()                                                                                                                                                  |  39,088   99%  |              0  |    4,099  |
|  richards.Scheduler.start()                                                                                                                                            |  39,088   99%  |          < 0.1  |    4,099  |
|  richards.Scheduler.schedule()                                                                                                                                         |  39,076   99%  |         12,031  |    4,097  |
|  richards.TaskControlBlock.runTask()                                                                                                                                   |  22,902   59%  |          6,018  |    2,395  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                                     |   7,570   19%  |          2,916  |      793  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                                      |   4,467   11%  |          1,716  |      469  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                                |   3,889   10%  |            429  |      403  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                           |   3,123    8%  |          3,123  |      328  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                                        |   2,770    7%  |          1,237  |      285  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                          |   1,898    5%  |          1,375  |      197  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                              |   1,116    3%  |            460  |      119  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                                      |   1,111    3%  |            692  |      116  |
|  richards.Scheduler.findTask(int)                                                                                                                                      |     979    3%  |            979  |      100  |
|  richards.Packet.setLink(Packet)                                                                                                                                       |     959    2%  |            959  |      101  |
|  richards.Scheduler.release(int)                                                                                                                                       |     909    2%  |            138  |       94  |
|  richards.TaskControlBlock.getLink()                                                                                                                                   |     795    2%  |            795  |       83  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                                              |     734    2%  |            734  |       74  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                                      |     642    2%  |            642  |       68  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                                    |     610    2%  |            310  |       64  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                                      |     569    1%  |            156  |       61  |
|  richards.Scheduler.holdSelf()                                                                                                                                         |     551    1%  |            412  |       59  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                                            |     461    1%  |            461  |       49  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                                           |     434    1%  |            434  |       46  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                                             |     425    1%  |            425  |       42  |
|  richards.Packet.setIdentity(int)                                                                                                                                      |     368    1%  |            368  |       37  |
|  richards.TaskControlBlock.getIdentity()                                                                                                                               |     362    1%  |            362  |       38  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                                                       |     335    1%  |            335  |       35  |
|  richards.Packet.getIdentity()                                                                                                                                         |     239    1%  |            239  |       28  |
|  richards.Packet.getDatum()                                                                                                                                            |     209    1%  |            209  |       23  |
|  richards.IdleTaskDataRecord.setCount(int)                                                                                                                             |     189    0%  |            189  |       19  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                                         |     176    0%  |            176  |       17  |
|  richards.Packet.setDatum(int)                                                                                                                                         |     144    0%  |            144  |       15  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                                            |     129    0%  |            129  |       13  |
|  richards.TaskState.running()                                                                                                                                          |     129    0%  |            129  |       14  |
|  richards.TaskState.setPacketPending(boolean)                                                                                                                          |     119    0%  |            119  |       12  |
|  richards.TaskState.packetPending()                                                                                                                                    |      99    0%  |             99  |       11  |
|  richards.WorkerTaskDataRecord.getCount()                                                                                                                              |      49    0%  |             49  |        5  |
|  richards.Packet.getLink()                                                                                                                                             |      29    0%  |             29  |        4  |
|  richards.HandlerTaskDataRecord.workIn()                                                                                                                               |      28    0%  |             28  |        3  |
|  java.io.BufferedWriter.flushBuffer() BufferedWriter.java                                                                                                              |       9    0%  |              0  |        1  |
|  java.io.BufferedWriter.implFlushBuffer() BufferedWriter.java                                                                                                          |       9    0%  |              0  |        1  |
|  java.io.OutputStreamWriter.write(char[], int, int) OutputStreamWriter.java                                                                                            |       9    0%  |              0  |        1  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                                              |       9    0%  |              0  |        1  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                  |       9    0%  |              0  |        1  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                  |       9    0%  |              0  |        1  |
|  java.nio.CharBuffer.<init>(int, int, int, int, char[], int, MemorySegment) CharBuffer.java                                                                            |       9    0%  |              9  |        1  |
|  java.nio.CharBuffer.wrap(char[], int, int) CharBuffer.java                                                                                                            |       9    0%  |              0  |        1  |
|  java.nio.HeapCharBuffer.<init>(char[], int, int, MemorySegment) HeapCharBuffer.java                                                                                   |       9    0%  |              0  |        1  |
|  Run.printResult(long, int)                                                                                                                                            |       9    0%  |              0  |        1  |
|  sun.nio.cs.StreamEncoder.implWrite(char[], int, int) StreamEncoder.java                                                                                               |       9    0%  |              0  |        1  |
|  sun.nio.cs.StreamEncoder.lockedWrite(char[], int, int) StreamEncoder.java                                                                                             |       9    0%  |              0  |        1  |
|  sun.nio.cs.StreamEncoder.write(char[], int, int) StreamEncoder.java                                                                                                   |       9    0%  |              0  |        1  |
|  richards.Packet.getData()                                                                                                                                             |       9    0%  |              9  |        1  |
|  richards.DeviceTaskDataRecord.<init>()                                                                                                                                |       6    0%  |              0  |        1  |
|  richards.RBObject.<init>()                                                                                                                                            |       6    0%  |              6  |        1  |
|  richards.Scheduler.createDevice(int, int, Packet, TaskState)                                                                                                          |       6    0%  |              0  |        1  |
|  richards.Scheduler.createHandler(int, int, Packet, TaskState)                                                                                                         |       4    0%  |              0  |        1  |
|  richards.Scheduler.createTask(int, int, Packet, TaskState, ProcessFunction, RBObject)                                                                                 |       4    0%  |              0  |        1  |
|  richards.TaskControlBlock.<init>(TaskControlBlock, int, int, Packet, TaskState, ProcessFunction, RBObject)                                                            |       4    0%  |              4  |        1  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java                                                     |       0    0%  |              0  |        1  |
|  com.sun.management.GarbageCollectionNotificationInfo.from(CompositeData) GarbageCollectionNotificationInfo.java                                                       |       0    0%  |              0  |        1  |
|  com.sun.management.GcInfo.<init>(CompositeData) GcInfo.java                                                                                                           |       0    0%  |              0  |        1  |
|  com.sun.management.GcInfo.from(CompositeData) GcInfo.java                                                                                                             |       0    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getGcInfo(CompositeData) GarbageCollectionNotifInfoCompositeData.java                             |       0    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                           |       0    0%  |              0  |        1  |
|  com.sun.management.internal.GcInfoCompositeData.getMemoryUsageBeforeGc(CompositeData) GcInfoCompositeData.java                                                        |       0    0%  |              0  |        1  |
|  com.yourkit.am.av.invoke(Object, Object[]) a                                                                                                                          |       0    0%  |              0  |        1  |
|  com.yourkit.probes.GcPauseCounter$GcListener.handleNotification(Notification, Object) a                                                                               |       0    0%  |              0  |        1  |
|  com.yourkit.probes.ReflectionUtilImpl.callMethod1(Class, Object, String, Object, CallStatus) a                                                                        |       0    0%  |              0  |        1  |
|  com.yourkit.runtime.JniMethod.callObjectMethodImpl(Class, Object, long, long, Object[], long[]) a                                                                     |       0    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                                              |       0    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_L.copyWithExtendL(MethodType, LambdaForm, Object) BoundMethodHandle.java                                                   |       0    0%  |              0  |        1  |
