Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  37,210   99%  |              0  |    3,897  |
|  Run.runBenchmark()                                                                                                                                                   |  37,210   99%  |              0  |    3,897  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  37,200   99%  |              0  |    3,896  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  37,200   99%  |          < 0.1  |    3,896  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  37,141   99%  |              0  |    3,890  |
|  Json.benchmark()                                                                                                                                                     |  37,141   99%  |              0  |    3,890  |
|  json.JsonPureStringParser.parse()                                                                                                                                    |  37,141   99%  |              9  |    3,890  |
|  json.JsonPureStringParser.readObject()                                                                                                                               |  37,131   99%  |            116  |    3,889  |
|  json.JsonPureStringParser.readValue()                                                                                                                                |  37,131   99%  |            724  |    3,889  |
|  json.JsonPureStringParser.readArray()                                                                                                                                |  37,091   99%  |            312  |    3,884  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                       |  13,263   35%  |          1,104  |    1,395  |
|  java.lang.String.equals(Object) String.java                                                                                                                          |  12,171   33%  |         12,171  |    1,265  |
|  json.JsonPureStringParser.read()                                                                                                                                     |  10,712   29%  |          2,251  |    1,133  |
|  json.JsonPureStringParser.readString()                                                                                                                               |   8,588   23%  |             99  |      898  |
|  som.Vector.append(Object)                                                                                                                                            |   6,254   17%  |          6,234  |      655  |
|  json.JsonArray.add(JsonValue)                                                                                                                                        |   6,028   16%  |              0  |      632  |
|  java.lang.Character.toString(char) Character.java                                                                                                                    |   5,462   15%  |              0  |      581  |
|  java.lang.String.valueOf(char) String.java                                                                                                                           |   5,462   15%  |          2,265  |      581  |
|  json.JsonPureStringParser.readNumber()                                                                                                                               |   5,195   14%  |            109  |      543  |
|  json.JsonPureStringParser.readName()                                                                                                                                 |   4,850   13%  |             45  |      513  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                           |   4,715   13%  |            270  |      493  |
