Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                         Method                                                                         |   Time (ms)    |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                |  91,541  100%  |              0  |    9,433  |
|  Run.runBenchmark()                                                                                                                                    |  91,541  100%  |          < 0.1  |    9,433  |
|  Run.doRuns(Benchmark)                                                                                                                                 |  91,531   99%  |              0  |    9,432  |
|  Run.measure(Benchmark, int)                                                                                                                           |  91,531   99%  |              0  |    9,432  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                     |  91,504   99%  |              0  |    9,430  |
|  List.benchmark()                                                                                                                                      |  91,504   99%  |             49  |    9,430  |
|  List.tail(List$Element, List$Element, List$Element)                                                                                                   |  90,822   99%  |         13,065  |    9,361  |
|  List.isShorterThan(List$Element, List$Element)                                                                                                        |  75,264   82%  |         39,208  |    7,772  |
|  List$Element.getNext()                                                                                                                                |  38,549   42%  |         38,549  |    3,978  |
|  List.makeList(int)                                                                                                                                    |     550    1%  |            385  |       56  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                           |     174    0%  |            174  |       18  |
|  List$Element.length()                                                                                                                                 |      71    0%  |             71  |        7  |
|  Run.printResult(long, int)                                                                                                                            |      26    0%  |          < 0.1  |        2  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                        |      26    0%  |              0  |        2  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                     |      26    0%  |              0  |        2  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                 |      26    0%  |              0  |        2  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                     |      26    0%  |              0  |        2  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                               |      26    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                          |      26    0%  |              0  |        2  |
