Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|                                                                        Method                                                                        |    Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                              |  100,701   99%  |              0  |   10,208  |
|  Run.doRuns(Benchmark)                                                                                                                               |  100,701   99%  |              0  |   10,208  |
|  Run.measure(Benchmark, int)                                                                                                                         |  100,701   99%  |              0  |   10,208  |
|  Run.runBenchmark()                                                                                                                                  |  100,701   99%  |              0  |   10,208  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                      |  100,610   99%  |              9  |   10,198  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                  |  100,600   99%  |             18  |   10,197  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                  |   63,872   63%  |              9  |    6,506  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                 |   63,381   63%  |          4,877  |    6,456  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                |   60,695   60%  |          4,155  |    6,134  |
|  som.Set.add(Object)                                                                                                                                 |   38,046   38%  |             88  |    3,828  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                   |   36,476   36%  |              0  |    3,665  |
|  som.Vector.hasSome(TestInterface)                                                                                                                   |   35,775   36%  |         35,173  |    3,598  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                           |   35,124   35%  |            701  |    3,529  |
|  som.Set.hasSome(TestInterface)                                                                                                                      |   35,114   35%  |             29  |    3,531  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                             |   34,989   35%  |             58  |    3,516  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                          |   34,930   35%  |             29  |    3,510  |
|  som.IdentitySet.contains(Object)                                                                                                                    |   34,563   34%  |              0  |    3,475  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                       |   34,422   34%  |             37  |    3,458  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                             |   21,188   21%  |             29  |    2,148  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                              |   18,552   18%  |             19  |    1,882  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                      |   14,458   14%  |          8,039  |    1,467  |
|  som.Vector.<init>(int)                                                                                                                              |   14,115   14%  |         14,115  |    1,436  |
|  som.Vector.<init>()                                                                                                                                 |   12,374   12%  |              0  |    1,260  |
|  som.Set.forEach(ForEachInterface)                                                                                                                   |    9,598   10%  |             39  |      975  |
