Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                         Method                                                                         |   Time (ms)    |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                |  38,998  100%  |              0  |    4,090  |
|  Run.runBenchmark()                                                                                                                                    |  38,998  100%  |              0  |    4,090  |
|  Run.doRuns(Benchmark)                                                                                                                                 |  38,989   99%  |              0  |    4,088  |
|  Run.measure(Benchmark, int)                                                                                                                           |  38,989   99%  |              0  |    4,088  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                     |  38,984   99%  |          < 0.1  |    4,087  |
|  Richards.benchmark()                                                                                                                                  |  38,981   99%  |              0  |    4,086  |
|  richards.Scheduler.start()                                                                                                                            |  38,981   99%  |             19  |    4,086  |
|  richards.Scheduler.schedule()                                                                                                                         |  38,911   99%  |         11,735  |    4,079  |
|  richards.TaskControlBlock.runTask()                                                                                                                   |  23,403   60%  |          6,639  |    2,459  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                     |   7,783   20%  |          2,724  |      811  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                      |   4,438   11%  |          1,771  |      467  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                |   3,618    9%  |            476  |      380  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                           |   2,872    7%  |          2,872  |      299  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                        |   2,465    6%  |          1,100  |      256  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                          |   1,536    4%  |          1,036  |      161  |
|  richards.Scheduler.findTask(int)                                                                                                                      |   1,190    3%  |          1,190  |      122  |
|  richards.RBObject.append(Packet, Packet)                                                                                                              |   1,174    3%  |            483  |      121  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                      |   1,053    3%  |            831  |      111  |
|  richards.Packet.setLink(Packet)                                                                                                                       |     961    2%  |            961  |      103  |
|  richards.Scheduler.release(int)                                                                                                                       |     804    2%  |             80  |       81  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                      |     801    2%  |            801  |       86  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                      |     697    2%  |            196  |       71  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                              |     689    2%  |            689  |       78  |
|  richards.TaskControlBlock.getLink()                                                                                                                   |     673    2%  |            673  |       73  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                    |     623    2%  |            363  |       64  |
|  richards.Scheduler.holdSelf()                                                                                                                         |     606    2%  |            512  |       64  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                                       |     475    1%  |            475  |       47  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                            |     409    1%  |            409  |       41  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                           |     406    1%  |            406  |       43  |
|  richards.Packet.getDatum()                                                                                                                            |     374    1%  |            374  |       40  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                             |     346    1%  |            346  |       35  |
|  richards.TaskControlBlock.getIdentity()                                                                                                               |     320    1%  |            320  |       33  |
|  richards.Packet.getIdentity()                                                                                                                         |     269    1%  |            269  |       29  |
|  richards.TaskState.running()                                                                                                                          |     223    1%  |            223  |       25  |
|  richards.Packet.setIdentity(int)                                                                                                                      |     208    1%  |            208  |       20  |
|  richards.IdleTaskDataRecord.setCount(int)                                                                                                             |     153    0%  |            153  |       16  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                         |     115    0%  |            115  |       12  |
|  richards.TaskState.packetPending()                                                                                                                    |     109    0%  |            109  |       12  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                            |     109    0%  |            109  |       11  |
|  richards.Packet.setDatum(int)                                                                                                                         |      89    0%  |             89  |        9  |
|  richards.TaskState.setPacketPending(boolean)                                                                                                          |      85    0%  |             85  |       10  |
|  richards.WorkerTaskDataRecord.getCount()                                                                                                              |      29    0%  |             29  |        3  |
|  richards.HandlerTaskDataRecord.workIn()                                                                                                               |      20    0%  |             20  |        2  |
|  richards.Packet.getData()                                                                                                                             |      19    0%  |             19  |        2  |
|  richards.Scheduler.createIdler(int, int, Packet, TaskState)                                                                                           |      19    0%  |              9  |        2  |
|  richards.HandlerTaskDataRecord.<init>()                                                                                                               |       9    0%  |              9  |        1  |
|  richards.Scheduler.createHandler(int, int, Packet, TaskState)                                                                                         |       9    0%  |              0  |        1  |
|  richards.Scheduler.createWorker(int, int, Packet, TaskState)                                                                                          |       9    0%  |              9  |        1  |
|  richards.Packet.<init>(Packet, int, int)                                                                                                              |       9    0%  |              9  |        1  |
|  richards.Scheduler.createPacket(Packet, int, int)                                                                                                     |       9    0%  |              0  |        1  |
|  richards.Scheduler.createTask(int, int, Packet, TaskState, ProcessFunction, RBObject)                                                                 |       9    0%  |              9  |        1  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                        |       9    0%  |              0  |        2  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                              |       9    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LL.copyWithExtendL(MethodType, LambdaForm, Object) java/lang/invoke/BoundMethodHandle$Species_LL           |       9    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLL.<init>(MethodType, LambdaForm, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLL  |       9    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLL.make(MethodType, LambdaForm, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLL    |       9    0%  |              0  |        1  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                     |       9    0%  |              0  |        2  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                 |       9    0%  |              0  |        2  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                     |       9    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.addMethod() InvokerBytecodeGenerator.java                                                                   |       9    0%  |              0  |        1  |
|  java.lang.invoke.InvokerBytecodeGenerator.emitStaticInvoke(MemberName, LambdaForm$Name) InvokerBytecodeGenerator.java                                 |       9    0%  |              0  |        1  |
|  java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCode(LambdaForm, MethodType) InvokerBytecodeGenerator.java                                |       9    0%  |              0  |        1  |
|  java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCodeBytes() InvokerBytecodeGenerator.java                                                 |       9    0%  |              0  |        1  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                               |       9    0%  |              0  |        2  |
|  java.lang.invoke.LambdaForm.compileToBytecode() LambdaForm.java                                                                                       |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm.prepare() LambdaForm.java                                                                                                 |       9    0%  |              0  |        1  |
|  java.lang.invoke.MemberName.getInvocationType() MemberName.java                                                                                       |       9    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandle.<init>(MethodType, LambdaForm) MethodHandle.java                                                                        |       9    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                          |       9    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java             |       9    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandles.argumentsWithCombiner(boolean, MethodHandle, int, MethodHandle, int[]) MethodHandles.java                              |       9    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandles.foldArgumentsWithCombiner(MethodHandle, int, MethodHandle, int[]) MethodHandles.java                                   |       9    0%  |              0  |        2  |
|  java.lang.invoke.MethodType.insertParameterTypes(int, Class[]) MethodType.java                                                                        |       9    0%  |              0  |        1  |
|  java.lang.invoke.MethodType.makeImpl(Class, Class[], boolean) MethodType.java                                                                         |       9    0%  |              0  |        1  |
|  java.lang.invoke.MethodType$ConcurrentWeakInternSet.get(Object) MethodType.java                                                                       |       9    0%  |              9  |        1  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, String[]) StringConcatFactory.java                                              |       9    0%  |              0  |        2  |
