Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|                                                                                Method                                                                                 |    Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  100,774   99%  |              0  |   10,225  |
|  Run.runBenchmark()                                                                                                                                                   |  100,774   99%  |          < 0.1  |   10,225  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  100,764   99%  |              0  |   10,224  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  100,764   99%  |          < 0.1  |   10,224  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  100,724   99%  |              0  |   10,220  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  100,714   99%  |              9  |   10,219  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |   64,439   64%  |             46  |    6,568  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |   63,943   63%  |          5,149  |    6,518  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |   60,123   60%  |          3,883  |    6,086  |
|  som.Set.add(Object)                                                                                                                                                  |   38,175   38%  |             30  |    3,845  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |   36,081   36%  |              0  |    3,631  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |   35,806   36%  |         35,284  |    3,604  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |   35,152   35%  |             63  |    3,536  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                            |   35,059   35%  |            782  |    3,528  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |   34,942   35%  |             19  |    3,517  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |   34,922   35%  |             39  |    3,515  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |   34,620   34%  |              0  |    3,483  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                        |   34,276   34%  |              9  |    3,449  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |   21,236   21%  |             10  |    2,157  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |   17,663   18%  |             34  |    1,801  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                       |   13,942   14%  |          7,442  |    1,415  |
|  som.Vector.<init>(int)                                                                                                                                               |   13,853   14%  |         13,853  |    1,406  |
|  som.Vector.<init>()                                                                                                                                                  |   12,235   12%  |              0  |    1,241  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                    |    9,338    9%  |             29  |      955  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                 |    8,450    8%  |             69  |      866  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000c9d78.apply(Object)                                                                                                     |    7,633    8%  |            234  |      783  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                           |    7,477    7%  |            545  |      765  |
|  havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1(int, Vector, Vector, Object)                                                                               |    7,399    7%  |          1,666  |      759  |
|  som.Vector.append(Object)                                                                                                                                            |    7,115    7%  |          6,935  |      726  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                |    6,921    7%  |            423  |      708  |
|  havlak.HavlakLoopFinder$2.apply(Object)                                                                                                                              |    5,668    6%  |            780  |      576  |
|  havlak.HavlakLoopFinder.stepD(int, Vector)                                                                                                                           |    5,545    6%  |          1,132  |      563  |
|  havlak.HavlakLoopFinder$2.apply(BasicBlock)                                                                                                                          |    4,888    5%  |            809  |      495  |
|  havlak.UnionFindNode.findSet()                                                                                                                                       |    4,719    5%  |            982  |      484  |
|  havlak.UnionFindNode.initNode(BasicBlock, int)                                                                                                                       |    3,334    3%  |          3,334  |      339  |
|  havlak.HavlakLoopFinder$1.apply(Object)                                                                                                                              |    3,330    3%  |            819  |      345  |
|  havlak.HavlakLoopFinder.setLoopAttributes(int, Vector, SimpleLoop)                                                                                                   |    3,268    3%  |             89  |      330  |
|  som.Dictionary.atPut(Dictionary$CustomHash, Object)                                                                                                                  |    3,179    3%  |            854  |      327  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                             |    2,715    3%  |          1,514  |      275  |
|  havlak.HavlakLoopFinder$4.apply(Object)                                                                                                                              |    2,648    3%  |            128  |      268  |
|  som.Vector.at(int)                                                                                                                                                   |    2,606    3%  |          2,606  |      262  |
|  havlak.LoopStructureGraph.createNewLoop(BasicBlock, boolean)                                                                                                         |    2,526    3%  |            278  |      257  |
|  havlak.HavlakLoopFinder$4.apply(UnionFindNode)                                                                                                                       |    2,519    2%  |            138  |      255  |
|  havlak.HavlakLoopFinder$1.apply(BasicBlock)                                                                                                                          |    2,511    2%  |              7  |      261  |
|  som.Set.<init>()                                                                                                                                                     |    2,311    2%  |              0  |      236  |
|  som.Set.<init>(int)                                                                                                                                                  |    2,311    2%  |            703  |      236  |
|  havlak.HavlakLoopFinder$5.apply(Object)                                                                                                                              |    1,819    2%  |            272  |      184  |
|  havlak.SimpleLoop.<init>(BasicBlock, boolean)                                                                                                                        |    1,736    2%  |            457  |      177  |
|  havlak.HavlakLoopFinder$5.apply(Integer)                                                                                                                             |    1,546    2%  |            148  |      156  |
|  som.Vector.size()                                                                                                                                                    |    1,291    1%  |          1,291  |      134  |
