Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                         Method                                                                          |   Time (ms)    |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                 |  91,510  100%  |              0  |    9,407  |
|  Run.runBenchmark()                                                                                                                                     |  91,510  100%  |          < 0.1  |    9,407  |
|  Run.doRuns(Benchmark)                                                                                                                                  |  91,500   99%  |              0  |    9,406  |
|  Run.measure(Benchmark, int)                                                                                                                            |  91,500   99%  |              0  |    9,406  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                      |  91,488   99%  |              0  |    9,404  |
|  List.benchmark()                                                                                                                                       |  91,488   99%  |              9  |    9,404  |
|  List.tail(List$Element, List$Element, List$Element)                                                                                                    |  90,821   99%  |         10,627  |    9,335  |
|  List.isShorterThan(List$Element, List$Element)                                                                                                         |  76,071   83%  |         40,536  |    7,813  |
|  List$Element.getNext()                                                                                                                                 |  39,657   43%  |         39,657  |    4,080  |
|  List.makeList(int)                                                                                                                                     |     538    1%  |            359  |       54  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                            |     178    0%  |            178  |       18  |
|  List$Element.length()                                                                                                                                  |     118    0%  |            118  |       14  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                         |      21    0%  |              0  |        4  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                      |      21    0%  |              0  |        4  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                  |      21    0%  |              0  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                      |      21    0%  |              0  |        3  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                |      21    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                           |      21    0%  |              0  |        4  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java              |      21    0%  |              0  |        4  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, String[]) StringConcatFactory.java                                               |      21    0%  |          < 0.1  |        3  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java      |      21    0%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.filterAndFoldInMixers(MethodHandle, long, Class[]) StringConcatFactory.java                                       |      16    0%  |              0  |        2  |
|  java.lang.invoke.StringConcatFactory.foldInLastMixers(MethodHandle, long, int, Class[], int) StringConcatFactory.java                                  |      16    0%  |              0  |        2  |
|  Run.printResult(long, int)                                                                                                                             |      11    0%  |              0  |        2  |
|  java.lang.invoke.StringConcatFactory.classIndex(Class) StringConcatFactory.java                                                                        |       9    0%  |              9  |        1  |
|  java.lang.invoke.StringConcatFactory.mixer(Class, Class) StringConcatFactory.java                                                                      |       9    0%  |              0  |        1  |
|  java.lang.invoke.StringConcatFactory.mixer(Class, Class, Class, Class) StringConcatFactory.java                                                        |       9    0%  |              0  |        1  |
|  Run.reportBenchmark()                                                                                                                                  |       9    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle.bindArgumentJ(int, long) BoundMethodHandle.java                                                                     |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm.argument(int, LambdaForm$BasicType) LambdaForm.java                                                                        |       6    0%  |              6  |        1  |
|  java.lang.invoke.LambdaForm.create(int, LambdaForm$Name[], int, boolean, MethodHandle, LambdaForm$Kind) LambdaForm.java                                |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm.create(int, LambdaForm$Name[], int) LambdaForm.java                                                                        |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm.internArgument(LambdaForm$Name) LambdaForm.java                                                                            |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm.normalizeNames(int, LambdaForm$Name[]) LambdaForm.java                                                                     |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm$Name.internArguments() LambdaForm.java                                                                                     |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaFormBuffer.endEdit() LambdaFormBuffer.java                                                                                      |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaFormBuffer.lambdaForm() LambdaFormBuffer.java                                                                                   |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaFormEditor.bindArgumentForm(int) LambdaFormEditor.java                                                                          |       6    0%  |              0  |        1  |
|  java.lang.invoke.LambdaFormEditor.bindArgumentJ(BoundMethodHandle, int, long) LambdaFormEditor.java                                                    |       6    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandles.insertArgumentPrimitive(BoundMethodHandle, int, Class, Object) MethodHandles.java                                       |       6    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandles.insertArguments(MethodHandle, int, Object[]) MethodHandles.java                                                         |       6    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                               |       4    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_L.<init>(MethodType, LambdaForm, Object) BoundMethodHandle.java                                             |       4    0%  |              0  |        1  |
