Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  92,097   99%  |              0  |    9,474  |
|  Run.runBenchmark()                                                                                                                                                   |  92,097   99%  |              0  |    9,474  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  92,088   99%  |              0  |    9,473  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  92,088   99%  |          < 0.1  |    9,473  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  92,028   99%  |              6  |    9,466  |
|  List.benchmark()                                                                                                                                                     |  92,021   99%  |             38  |    9,465  |
|  List.tail(List$Element, List$Element, List$Element)                                                                                                                  |  91,519   99%  |         11,537  |    9,412  |
|  List.isShorterThan(List$Element, List$Element)                                                                                                                       |  75,708   82%  |         39,682  |    7,796  |
|  List$Element.getNext()                                                                                                                                               |  40,299   44%  |         40,299  |    4,142  |
|  List.makeList(int)                                                                                                                                                   |     393    0%  |            309  |       41  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                                          |      93    0%  |             93  |       10  |
|  Run.printResult(long, int)                                                                                                                                           |      60    0%  |          < 0.1  |        7  |
|  List$Element.length()                                                                                                                                                |      58    0%  |             58  |        6  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                 |      39    0%  |              9  |        4  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                                             |      29    0%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                 |      29    0%  |              0  |        3  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                     |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                            |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.lockedFlushBuffer() StreamEncoder.java                                                                                                      |      19    0%  |          < 0.1  |        2  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                       |      19    0%  |              0  |        3  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                    |      19    0%  |              0  |        3  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                |      19    0%  |              0  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                    |      19    0%  |              0  |        3  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                              |      19    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                         |      19    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                            |      19    0%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, String[]) StringConcatFactory.java                                                             |      19    0%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                    |      19    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandles.argumentsWithCombiner(boolean, MethodHandle, int, MethodHandle, int[]) MethodHandles.java                                             |      14    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandles.filterArgumentsWithCombiner(MethodHandle, int, MethodHandle, int[]) MethodHandles.java                                                |      14    0%  |              0  |        2  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                                             |      13    0%  |              0  |        2  |
|  java.lang.invoke.BoundMethodHandle$Species_L.<init>(MethodType, LambdaForm, Object) BoundMethodHandle.java                                                           |      13    0%  |              0  |        2  |
