Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  95,602   99%  |              0  |    9,695  |
|  Run.runBenchmark()                                                                                                                                                   |  95,602   99%  |          < 0.1  |    9,695  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  95,592   99%  |              0  |    9,694  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  95,592   99%  |          < 0.1  |    9,694  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  95,522   99%  |              0  |    9,687  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  95,522   99%  |          < 0.1  |    9,687  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  60,729   63%  |          4,531  |    6,147  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |  58,913   62%  |             19  |    5,995  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |  58,496   61%  |          5,680  |    5,953  |
|  som.Set.add(Object)                                                                                                                                                  |  38,115   40%  |            113  |    3,845  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |  36,442   38%  |          < 0.1  |    3,676  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |  35,952   38%  |         35,386  |    3,624  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |  35,171   37%  |             19  |    3,546  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |  35,151   37%  |             50  |    3,544  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |  35,118   37%  |              0  |    3,539  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                            |  35,066   37%  |            597  |    3,536  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |  34,613   36%  |              0  |    3,488  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                        |  34,468   36%  |          < 0.1  |    3,476  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |  19,415   20%  |             19  |    1,971  |
|  som.Vector.<init>(int)                                                                                                                                               |  14,212   15%  |         14,212  |    1,444  |
|  som.Vector.<init>()                                                                                                                                                  |  12,662   13%  |              0  |    1,287  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |  11,521   12%  |          < 0.1  |    1,170  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                    |   9,904   10%  |             29  |    1,010  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                 |   8,737    9%  |             54  |      893  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                           |   8,338    9%  |            742  |      848  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                       |   7,998    8%  |          2,218  |      812  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000c9d78.apply(Object)                                                                                                     |   7,822    8%  |            172  |      798  |
|  havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1(int, Vector, Vector, Object)                                                                               |   7,650    8%  |          1,670  |      780  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                |   7,586    8%  |            574  |      771  |
|  som.Vector.append(Object)                                                                                                                                            |   6,683    7%  |          6,467  |      679  |
|  havlak.HavlakLoopFinder$2.apply(Object)                                                                                                                              |   6,149    6%  |            927  |      624  |
|  havlak.HavlakLoopFinder$2.apply(BasicBlock)                                                                                                                          |   5,221    5%  |          1,000  |      529  |
|  havlak.HavlakLoopFinder.stepD(int, Vector)                                                                                                                           |   4,857    5%  |          1,008  |      495  |
|  havlak.UnionFindNode.findSet()                                                                                                                                       |   4,682    5%  |            843  |      479  |
|  havlak.UnionFindNode.initNode(BasicBlock, int)                                                                                                                       |   3,203    3%  |          3,203  |      324  |
|  havlak.HavlakLoopFinder$1.apply(Object)                                                                                                                              |   3,168    3%  |            726  |      322  |
|  som.Dictionary.atPut(Dictionary$CustomHash, Object)                                                                                                                  |   2,871    3%  |            739  |      293  |
|  havlak.HavlakLoopFinder.setLoopAttributes(int, Vector, SimpleLoop)                                                                                                   |   2,854    3%  |             78  |      291  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                             |   2,465    3%  |          1,545  |      250  |
|  som.Set.<init>()                                                                                                                                                     |   2,450    3%  |              0  |      249  |
|  som.Set.<init>(int)                                                                                                                                                  |   2,450    3%  |            899  |      249  |
|  havlak.HavlakLoopFinder$1.apply(BasicBlock)                                                                                                                          |   2,441    3%  |             29  |      249  |
|  som.Vector.at(int)                                                                                                                                                   |   2,404    3%  |          2,404  |      244  |
|  havlak.HavlakLoopFinder$4.apply(Object)                                                                                                                              |   2,333    2%  |             29  |      236  |
|  havlak.HavlakLoopFinder$4.apply(UnionFindNode)                                                                                                                       |   2,303    2%  |            169  |      233  |
|  havlak.LoopStructureGraph.createNewLoop(BasicBlock, boolean)                                                                                                         |   2,173    2%  |            250  |      220  |
|  havlak.HavlakLoopFinder$5.apply(Object)                                                                                                                              |   1,635    2%  |            347  |      167  |
|  havlak.SimpleLoop.<init>(BasicBlock, boolean)                                                                                                                        |   1,488    2%  |            429  |      150  |
|  havlak.LoopStructureGraph.calculateNestingLevelRec(SimpleLoop, int)                                                                                                  |   1,296    1%  |              0  |      132  |
|  havlak.HavlakLoopFinder$5.apply(Integer)                                                                                                                             |   1,288    1%  |            111  |      132  |
|  havlak.LoopStructureGraph$2.apply(Object)                                                                                                                            |   1,172    1%  |            332  |      119  |
|  havlak.LoopStructureGraph$2.apply(SimpleLoop)                                                                                                                        |   1,116    1%  |             14  |      113  |
|  havlak.SimpleLoop.addNode(BasicBlock)                                                                                                                                |     944    1%  |             34  |       96  |
|  som.Vector.size()                                                                                                                                                    |     920    1%  |            920  |       95  |
|  som.Dictionary.resize()                                                                                                                                              |     915    1%  |             99  |       94  |
|  som.Dictionary.transferEntries(Dictionary$Entry[])                                                                                                                   |     815    1%  |            815  |       84  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                                          |     795    1%  |            795  |       81  |
|  som.IdentitySet.<init>()                                                                                                                                             |     707    1%  |              0  |       71  |
|  havlak.HavlakLoopFinder.isAncestor(int, int)                                                                                                                         |     579    1%  |            579  |       59  |
|  som.Set.contains(Object)                                                                                                                                             |     505    1%  |              0  |       51  |
|  som.Dictionary.insertBucketEntry(Dictionary$CustomHash, Object, int, Dictionary$Entry)                                                                               |     460    0%  |            450  |       47  |
|  havlak.HavlakLoopFinder.<init>(ControlFlowGraph, LoopStructureGraph)                                                                                                 |     397    0%  |             79  |       40  |
|  som.IdentityDictionary$IdEntry.match(int, Object)                                                                                                                    |     394    0%  |            394  |       40  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000cbc00.test(Object)                                                                                                      |     394    0%  |            394  |       40  |
|  som.IdentityDictionary.newEntry(Dictionary$CustomHash, Object, int)                                                                                                  |     388    0%  |            379  |       41  |
|  som.Dictionary.getBucketIdx(int)                                                                                                                                     |     382    0%  |            382  |       38  |
|  som.Set.size()                                                                                                                                                       |     349    0%  |              0  |       36  |
|  havlak.UnionFindNode.union(UnionFindNode)                                                                                                                            |     337    0%  |            337  |       34  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                                           |     323    0%  |            323  |       33  |
|  som.Vector.removeAll()                                                                                                                                               |     309    0%  |            309  |       32  |
|  havlak.BasicBlock.getNumPred()                                                                                                                                       |     293    0%  |              0  |       31  |
|  som.Dictionary.getBucket(int)                                                                                                                                        |     287    0%  |            197  |       29  |
|  som.Vector.removeFirst()                                                                                                                                             |     234    0%  |            234  |       24  |
|  java.util.Arrays.copyOf(Object[], int) Arrays.java                                                                                                                   |     216    0%  |              0  |       23  |
|  java.util.Arrays.copyOf(Object[], int, Class) Arrays.java                                                                                                            |     216    0%  |            132  |       23  |
|  havlak.LoopTesterApp.buildBaseLoop(int)                                                                                                                              |     145    0%  |          < 0.1  |       14  |
|  havlak.LoopTesterApp.constructCFG(int, int, int)                                                                                                                     |     145    0%  |              0  |       14  |
|  havlak.BasicBlockEdge.<init>(ControlFlowGraph, int, int)                                                                                                             |     145    0%  |             19  |       14  |
|  som.Set.lambda$contains$1(Object, Object)                                                                                                                            |     144    0%  |             19  |       14  |
|  som.Set$$Lambda.0x00000008000c94d8.test(Object)                                                                                                                      |     144    0%  |              0  |       14  |
|  java.lang.Integer.equals(Object) Integer.java                                                                                                                        |     124    0%  |            124  |       12  |
