Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                       Method                                                                        |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                             |  40,746  100%  |              0  |    4,235  |
|  Run.runBenchmark()                                                                                                                                 |  40,746  100%  |          < 0.1  |    4,235  |
|  Run.doRuns(Benchmark)                                                                                                                              |  40,736   99%  |              0  |    4,234  |
|  Run.measure(Benchmark, int)                                                                                                                        |  40,736   99%  |          < 0.1  |    4,234  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                  |  40,726   99%  |              0  |    4,233  |
|  Richards.benchmark()                                                                                                                               |  40,726   99%  |              9  |    4,233  |
|  richards.Scheduler.start()                                                                                                                         |  40,716   99%  |          < 0.1  |    4,232  |
|  richards.Scheduler.schedule()                                                                                                                      |  40,691   99%  |         11,803  |    4,229  |
|  richards.TaskControlBlock.runTask()                                                                                                                |  25,268   62%  |          6,225  |    2,620  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                  |   8,688   21%  |          3,329  |      896  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                   |   5,106   13%  |          1,850  |      530  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                             |   4,252   10%  |            579  |      439  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                        |   2,727    7%  |          2,727  |      282  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                     |   2,619    6%  |          1,113  |      270  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                       |   1,931    5%  |          1,344  |      201  |
|  richards.RBObject.append(Packet, Packet)                                                                                                           |   1,247    3%  |            499  |      130  |
|  richards.Scheduler.findTask(int)                                                                                                                   |   1,214    3%  |          1,214  |      127  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                           |   1,166    3%  |          1,166  |      121  |
|  richards.Packet.setLink(Packet)                                                                                                                    |   1,139    3%  |          1,139  |      117  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                   |   1,052    3%  |            674  |      112  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                   |     928    2%  |            928  |       95  |
|  richards.Scheduler.release(int)                                                                                                                    |     853    2%  |             39  |       90  |
|  richards.Scheduler.holdSelf()                                                                                                                      |     837    2%  |            677  |       87  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                 |     728    2%  |            434  |       74  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                   |     705    2%  |            238  |       76  |
|  richards.TaskControlBlock.getLink()                                                                                                                |     590    1%  |            590  |       60  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                        |     568    1%  |            568  |       53  |
|  richards.TaskControlBlock.getIdentity()                                                                                                            |     461    1%  |            461  |       50  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                          |     407    1%  |            407  |       44  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                                    |     383    1%  |            383  |       39  |
|  richards.Packet.getIdentity()                                                                                                                      |     379    1%  |            379  |       41  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                         |     354    1%  |            354  |       37  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                      |     260    1%  |            260  |       20  |
|  richards.Packet.getDatum()                                                                                                                         |     249    1%  |            249  |       25  |
