Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                        Method                                                                        |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                              |  40,116  100%  |              0  |    4,234  |
|  Run.runBenchmark()                                                                                                                                  |  40,116  100%  |              0  |    4,234  |
|  Run.doRuns(Benchmark)                                                                                                                               |  40,106   99%  |              0  |    4,233  |
|  Run.measure(Benchmark, int)                                                                                                                         |  40,106   99%  |          < 0.1  |    4,233  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                   |  40,054   99%  |              0  |    4,227  |
|  Richards.benchmark()                                                                                                                                |  40,054   99%  |              2  |    4,227  |
|  richards.Scheduler.start()                                                                                                                          |  40,041   99%  |              9  |    4,225  |
|  richards.Scheduler.schedule()                                                                                                                       |  40,011   99%  |         11,887  |    4,222  |
|  richards.TaskControlBlock.runTask()                                                                                                                 |  24,646   61%  |          5,958  |    2,594  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                   |   8,791   22%  |          3,314  |      920  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                    |   4,695   12%  |          1,818  |      496  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                              |   3,755    9%  |            479  |      392  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                         |   2,702    7%  |          2,702  |      294  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                      |   2,564    6%  |          1,111  |      272  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                        |   1,817    5%  |          1,131  |      190  |
|  richards.RBObject.append(Packet, Packet)                                                                                                            |   1,440    4%  |            667  |      149  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                    |   1,210    3%  |            890  |      128  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                            |   1,148    3%  |          1,148  |      122  |
|  richards.Scheduler.findTask(int)                                                                                                                    |   1,117    3%  |          1,117  |      119  |
|  richards.Packet.setLink(Packet)                                                                                                                     |   1,042    3%  |          1,042  |      109  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                    |     895    2%  |            895  |       91  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                  |     866    2%  |            471  |       92  |
|  richards.Scheduler.holdSelf()                                                                                                                       |     776    2%  |            569  |       82  |
|  richards.Scheduler.release(int)                                                                                                                     |     763    2%  |             83  |       83  |
|  richards.TaskControlBlock.getLink()                                                                                                                 |     730    2%  |            730  |       76  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                    |     651    2%  |            132  |       68  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                         |     520    1%  |            520  |       56  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                                     |     457    1%  |            457  |       48  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                           |     402    1%  |            402  |       42  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                          |     311    1%  |            311  |       34  |
|  richards.Packet.getDatum()                                                                                                                          |     274    1%  |            274  |       28  |
|  richards.Packet.getIdentity()                                                                                                                       |     254    1%  |            254  |       25  |
|  richards.TaskControlBlock.getIdentity()                                                                                                             |     251    1%  |            251  |       26  |
|  richards.Packet.setDatum(int)                                                                                                                       |     234    1%  |            234  |       24  |
|  richards.Packet.setIdentity(int)                                                                                                                    |     195    0%  |            195  |       22  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                       |     181    0%  |            181  |       19  |
|  richards.IdleTaskDataRecord.setCount(int)                                                                                                           |     168    0%  |            168  |       17  |
|  richards.TaskState.running()                                                                                                                        |     159    0%  |            159  |       17  |
|  richards.TaskState.setPacketPending(boolean)                                                                                                        |     157    0%  |            157  |       16  |
|  richards.TaskState.packetPending()                                                                                                                  |     117    0%  |            117  |       13  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                            |      51    0%  |          < 0.1  |        6  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                |      51    0%  |              0  |        6  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                |      51    0%  |              0  |        6  |
|  Run.printResult(long, int)                                                                                                                          |      51    0%  |              0  |        6  |
|  richards.WorkerTaskDataRecord.setCount(int)                                                                                                         |      40    0%  |             40  |        4  |
|  richards.Packet.getData()                                                                                                                           |      38    0%  |             38  |        4  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                    |      32    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                           |      32    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                       |      32    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.lockedFlushBuffer() StreamEncoder.java                                                                                     |      32    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                            |      32    0%  |              2  |        4  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                      |      29    0%  |              0  |        3  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                |      29    0%  |              0  |        3  |
|  java.io.BufferedOutputStream.implFlush() BufferedOutputStream.java                                                                                  |      29    0%  |              0  |        3  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                              |      29    0%  |          < 0.1  |        3  |
|  java.io.PrintStream.implWrite(byte[], int, int) PrintStream.java                                                                                    |      29    0%  |              0  |        3  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                        |      29    0%  |              0  |        3  |
|  richards.HandlerTaskDataRecord.workIn()                                                                                                             |      29    0%  |             29  |        3  |
