Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  37,493   99%  |              0  |    3,909  |
|  Run.runBenchmark()                                                                                                                                                   |  37,493   99%  |              0  |    3,909  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  37,479   99%  |              0  |    3,907  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  37,479   99%  |              0  |    3,907  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  37,428   99%  |             19  |    3,900  |
|  Json.benchmark()                                                                                                                                                     |  37,408   99%  |              0  |    3,898  |
|  json.JsonPureStringParser.parse()                                                                                                                                    |  37,408   99%  |              0  |    3,898  |
|  json.JsonPureStringParser.readObject()                                                                                                                               |  37,408   99%  |            158  |    3,898  |
|  json.JsonPureStringParser.readValue()                                                                                                                                |  37,408   99%  |            637  |    3,898  |
|  json.JsonPureStringParser.readArray()                                                                                                                                |  37,334   99%  |            376  |    3,889  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                       |  18,604   49%  |            956  |    1,935  |
|  java.lang.String.equals(Object) String.java                                                                                                                          |  17,408   46%  |         17,408  |    1,819  |
|  json.JsonPureStringParser.readString()                                                                                                                               |  11,967   32%  |            117  |    1,243  |
|  json.JsonPureStringParser.read()                                                                                                                                     |  11,167   30%  |          2,536  |    1,158  |
|  json.JsonPureStringParser.readName()                                                                                                                                 |   6,855   18%  |             54  |      714  |
|  java.lang.Character.toString(char) Character.java                                                                                                                    |   5,569   15%  |              0  |      574  |
|  java.lang.String.valueOf(char) String.java                                                                                                                           |   5,569   15%  |          2,329  |      574  |
|  json.JsonPureStringParser.readNumber()                                                                                                                               |   5,211   14%  |            170  |      547  |
|  json.JsonPureStringParser.endCapture()                                                                                                                               |   4,779   13%  |            232  |      497  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                           |   4,633   12%  |            227  |      480  |
|  json.JsonPureStringParser.subStringFromTo(int, int)                                                                                                                  |   4,547   12%  |            930  |      473  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                           |   4,513   12%  |             59  |      471  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                             |   4,453   12%  |            753  |      465  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                |   3,564    9%  |            390  |      375  |
|  java.lang.StringLatin1.toBytes(char) StringLatin1.java                                                                                                               |   3,239    9%  |          3,239  |      333  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                  |   2,223    6%  |            292  |      235  |
|  json.JsonPureStringParser.readNull()                                                                                                                                 |   1,397    4%  |             18  |      146  |
|  java.lang.AbstractStringBuilder.append(char) AbstractStringBuilder.java                                                                                              |   1,291    3%  |            857  |      134  |
|  java.lang.StringBuilder.append(char) StringBuilder.java                                                                                                              |   1,291    3%  |              0  |      134  |
|  java.lang.StringBuilder.toString() StringBuilder.java                                                                                                                |   1,132    3%  |            722  |      117  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                                   |   1,002    3%  |              9  |      103  |
|  java.lang.String.charAt(int) String.java                                                                                                                             |     976    3%  |          < 0.1  |      103  |
|  som.Vector.append(Object)                                                                                                                                            |     810    2%  |            790  |       84  |
|  som.Vector.<init>()                                                                                                                                                  |     715    2%  |              0  |       76  |
|  som.Vector.<init>(int)                                                                                                                                               |     715    2%  |            715  |       76  |
|  java.lang.String.isLatin1() String.java                                                                                                                              |     667    2%  |            667  |       72  |
|  json.JsonArray.add(JsonValue)                                                                                                                                        |     649    2%  |              0  |       67  |
|  java.lang.String.hashCode() String.java                                                                                                                              |     571    2%  |            429  |       59  |
|  json.JsonArray.<init>()                                                                                                                                              |     554    1%  |             74  |       59  |
|  java.lang.AbstractStringBuilder.<init>(int) AbstractStringBuilder.java                                                                                               |     457    1%  |            457  |       48  |
|  java.lang.StringBuilder.<init>(int) StringBuilder.java                                                                                                               |     457    1%  |              0  |       48  |
|  java.lang.String.<init>(AbstractStringBuilder, Void) String.java                                                                                                     |     410    1%  |              9  |       42  |
|  java.lang.String.<init>(StringBuilder) String.java                                                                                                                   |     410    1%  |              0  |       42  |
|  java.lang.StringLatin1.charAt(byte[], int) StringLatin1.java                                                                                                         |     371    1%  |            264  |       38  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                                           |     360    1%  |              9  |       37  |
|  java.lang.Object.clone() Object.java (native)                                                                                                                        |     350    1%  |            350  |       36  |
|  json.JsonObject.<init>()                                                                                                                                             |     343    1%  |             29  |       36  |
|  java.lang.AbstractStringBuilder.ensureCapacityInternal(int) AbstractStringBuilder.java                                                                               |     339    1%  |            339  |       34  |
|  java.lang.String.length() String.java                                                                                                                                |     246    1%  |            196  |       27  |
|  json.JsonObject.add(String, JsonValue)                                                                                                                               |     220    1%  |          < 0.1  |       25  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |     163    0%  |              0  |       11  |
|  json.JsonPureStringParser.readExponent()                                                                                                                             |     135    0%  |              0  |       15  |
|  json.JsonPureStringParser.readFraction()                                                                                                                             |     129    0%  |              0  |       13  |
|  java.lang.AbstractStringBuilder.isLatin1() AbstractStringBuilder.java                                                                                                |     124    0%  |            124  |       13  |
|  java.lang.String.checkIndex(int, int) String.java                                                                                                                    |     107    0%  |              0  |       11  |
|  jdk.internal.util.Preconditions.checkIndex(int, int, BiFunction) Preconditions.java                                                                                  |     107    0%  |            107  |       11  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                  |      85    0%  |              0  |        8  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java  |      85    0%  |              0  |        8  |
|  com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java                                                                          |      85    0%  |              0  |        8  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                     |      85    0%  |              0  |        8  |
|  sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                           |      85    0%  |              6  |        8  |
|  java.lang.StringLatin1.hashCode(byte[]) StringLatin1.java                                                                                                            |      79    0%  |             79  |        8  |
|  json.JsonObject$HashIndexTable.<init>()                                                                                                                              |      78    0%  |             78  |        8  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java                                                    |      78    0%  |          < 0.1  |        3  |
|  com.sun.management.GarbageCollectionNotificationInfo.from(CompositeData) GarbageCollectionNotificationInfo.java                                                      |      78    0%  |              0  |        3  |
|  com.yourkit.am.av.invoke(Object, Object[]) a                                                                                                                         |      78    0%  |              0  |        3  |
|  com.yourkit.probes.GcPauseCounter$GcListener.handleNotification(Notification, Object) a                                                                              |      78    0%  |              0  |        3  |
|  com.yourkit.probes.ReflectionUtilImpl.callMethod1(Class, Object, String, Object, CallStatus) a                                                                       |      78    0%  |              0  |        3  |
|  com.yourkit.runtime.JniMethod.callObjectMethodImpl(Class, Object, long, long, Object[], long[]) a                                                                    |      78    0%  |              0  |        3  |
|  sun.management.NotificationEmitterSupport.sendNotification(Notification) NotificationEmitterSupport.java                                                             |      78    0%  |              0  |        3  |
