Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                   Method                                                                                   |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                    |  38,343   99%  |              0  |    4,023  |
|  Run.runBenchmark()                                                                                                                                                        |  38,343   99%  |          < 0.1  |    4,023  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  38,327   99%  |              0  |    4,020  |
|  Run.measure(Benchmark, int)                                                                                                                                               |  38,327   99%  |              0  |    4,020  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                         |  38,297   99%  |              0  |    4,016  |
|  Richards.benchmark()                                                                                                                                                      |  38,297   99%  |              9  |    4,016  |
|  richards.Scheduler.start()                                                                                                                                                |  38,284   99%  |          < 0.1  |    4,014  |
|  richards.Scheduler.schedule()                                                                                                                                             |  38,279   99%  |          5,941  |    4,013  |
|  richards.TaskControlBlock.runTask()                                                                                                                                       |  23,579   61%  |          6,514  |    2,469  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                                         |   7,874   21%  |          3,061  |      832  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                               |   7,829   20%  |          7,829  |      826  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                                          |   4,398   11%  |          1,836  |      455  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                                    |   3,333    9%  |            418  |      345  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                                            |   2,482    6%  |          1,189  |      258  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                              |   1,602    4%  |          1,006  |      166  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                                          |   1,281    3%  |            886  |      136  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                                  |     990    3%  |            487  |      103  |
|  richards.Scheduler.findTask(int)                                                                                                                                          |     835    2%  |            835  |       85  |
