Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                       Method                                                                        |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                             |  94,378  100%  |          < 0.1  |    9,716  |
|  Run.doRuns(Benchmark)                                                                                                                              |  94,368   99%  |              0  |    9,715  |
|  Run.measure(Benchmark, int)                                                                                                                        |  94,368   99%  |          < 0.1  |    9,715  |
|  Run.runBenchmark()                                                                                                                                 |  94,368   99%  |              0  |    9,715  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                  |  94,348   99%  |              0  |    9,712  |
|  List.benchmark()                                                                                                                                   |  94,348   99%  |             29  |    9,712  |
|  List.tail(List$Element, List$Element, List$Element)                                                                                                |  93,704   99%  |          7,950  |    9,646  |
|  List.isShorterThan(List$Element, List$Element)                                                                                                     |  83,025   88%  |         46,622  |    8,545  |
|  List$Element.getNext()                                                                                                                             |  39,131   41%  |         39,131  |    4,038  |
|  List.makeList(int)                                                                                                                                 |     599    1%  |            489  |       61  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                        |     109    0%  |            109  |       11  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                           |      19    0%  |              0  |        2  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                               |      19    0%  |              0  |        2  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                               |      19    0%  |              0  |        2  |
|  Run.printResult(long, int)                                                                                                                         |      19    0%  |              0  |        3  |
|  List$Element.length()                                                                                                                              |      14    0%  |             14  |        2  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                             |       9    0%  |              0  |        1  |
|  com.yourkit.probes.builtin.Files$FileOutputStream_write_arrayRange_Probe.onEnter(FileOutputStream, int) a                                          |       9    0%  |              0  |        1  |
|  com.yourkit.probes.ProbeConstants.shouldIgnoreRow(int) a                                                                                           |       9    0%  |              9  |        1  |
|  com.yourkit.probes.Table.createRow(int) a                                                                                                          |       9    0%  |              0  |        1  |
|  com.yourkit.probes.Table.shouldIgnoreRow(int) a                                                                                                    |       9    0%  |              0  |        1  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                     |       9    0%  |              0  |        1  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                               |       9    0%  |              0  |        1  |
|  java.io.BufferedOutputStream.implFlush() BufferedOutputStream.java                                                                                 |       9    0%  |              0  |        1  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                             |       9    0%  |              0  |        1  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                   |       9    0%  |              0  |        1  |
|  java.io.PrintStream.implWrite(byte[], int, int) PrintStream.java                                                                                   |       9    0%  |              0  |        1  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                       |       9    0%  |              0  |        1  |
