Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                   Method                                                                                   |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                    |  95,761   99%  |              0  |    9,722  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  95,761   99%  |              0  |    9,722  |
|  Run.measure(Benchmark, int)                                                                                                                                               |  95,761   99%  |              0  |    9,722  |
|  Run.runBenchmark()                                                                                                                                                        |  95,761   99%  |              0  |    9,722  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                            |  95,679   99%  |              0  |    9,714  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                        |  95,669   99%  |             21  |    9,713  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                      |  60,908   64%  |          4,205  |    6,171  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                        |  59,261   62%  |             39  |    6,048  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                       |  58,767   61%  |          5,212  |    5,997  |
|  som.Set.add(Object)                                                                                                                                                       |  38,156   40%  |             55  |    3,848  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                         |  36,245   38%  |              0  |    3,648  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                         |  35,845   37%  |         35,331  |    3,609  |
|  som.Set.hasSome(TestInterface)                                                                                                                                            |  35,115   37%  |             29  |    3,536  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                                 |  34,987   37%  |            743  |    3,522  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                                   |  34,939   36%  |             79  |    3,519  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                                |  34,859   36%  |             49  |    3,511  |
|  som.IdentitySet.contains(Object)                                                                                                                                          |  34,454   36%  |              0  |    3,468  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                             |  34,243   36%  |             19  |    3,447  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                                   |  19,478   20%  |             10  |    1,980  |
|  som.Vector.<init>(int)                                                                                                                                                    |  14,059   15%  |         14,059  |    1,435  |
|  som.Vector.<init>()                                                                                                                                                       |  12,281   13%  |              9  |    1,255  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                                    |  11,802   12%  |              9  |    1,208  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                         |   9,430   10%  |             19  |      960  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                                |   8,743    9%  |            726  |      891  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                      |   8,351    9%  |             44  |      853  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                            |   8,147    9%  |          1,897  |      836  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                     |   8,007    8%  |            531  |      819  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000c9d78.apply(Object)                                                                                                          |   7,546    8%  |            271  |      771  |
|  havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1(int, Vector, Vector, Object)                                                                                    |   7,275    8%  |          1,700  |      743  |
|  som.Vector.append(Object)                                                                                                                                                 |   7,132    7%  |          6,830  |      731  |
|  havlak.HavlakLoopFinder$2.apply(Object)                                                                                                                                   |   6,551    7%  |            803  |      671  |
|  havlak.HavlakLoopFinder$2.apply(BasicBlock)                                                                                                                               |   5,748    6%  |            983  |      589  |
|  havlak.HavlakLoopFinder.stepD(int, Vector)                                                                                                                                |   5,246    5%  |          1,118  |      535  |
|  havlak.UnionFindNode.findSet()                                                                                                                                            |   4,741    5%  |            980  |      488  |
|  havlak.UnionFindNode.initNode(BasicBlock, int)                                                                                                                            |   3,418    4%  |          3,418  |      352  |
|  havlak.HavlakLoopFinder$1.apply(Object)                                                                                                                                   |   3,327    3%  |            791  |      339  |
|  som.Dictionary.atPut(Dictionary$CustomHash, Object)                                                                                                                       |   3,060    3%  |            815  |      312  |
