Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                              Method                                                                              |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                          |  93,328  100%  |              0  |    9,595  |
|  Run.runBenchmark()                                                                                                                                              |  93,328  100%  |              0  |    9,595  |
|  Run.doRuns(Benchmark)                                                                                                                                           |  93,315   99%  |              0  |    9,593  |
|  Run.measure(Benchmark, int)                                                                                                                                     |  93,315   99%  |          < 0.1  |    9,593  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                               |  93,305   99%  |              0  |    9,592  |
|  List.benchmark()                                                                                                                                                |  93,295   99%  |             29  |    9,591  |
|  List.tail(List$Element, List$Element, List$Element)                                                                                                             |  92,579   99%  |          7,660  |    9,518  |
|  List.isShorterThan(List$Element, List$Element)                                                                                                                  |  81,807   88%  |         47,118  |    8,426  |
|  List$Element.getNext()                                                                                                                                          |  37,800   41%  |         37,800  |    3,894  |
|  List.makeList(int)                                                                                                                                              |     617    1%  |            488  |       63  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                                     |     128    0%  |            128  |       14  |
|  List$Element.length()                                                                                                                                           |      68    0%  |             68  |        7  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                  |      13    0%  |              0  |        2  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                                        |      13    0%  |              0  |        2  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                               |      13    0%  |              0  |        2  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                           |      13    0%  |              0  |        2  |
