Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                         Method                                                                                          |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                 |  93,206   99%  |              0  |    9,608  |
|  Run.doRuns(Benchmark)                                                                                                                                                                  |  93,206   99%  |              0  |    9,607  |
|  Run.measure(Benchmark, int)                                                                                                                                                            |  93,206   99%  |              0  |    9,607  |
|  Run.runBenchmark()                                                                                                                                                                     |  93,206   99%  |              0  |    9,608  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                      |  93,197   99%  |              9  |    9,605  |
|  List.benchmark()                                                                                                                                                                       |  93,174   99%  |             22  |    9,602  |
|  List.tail(List$Element, List$Element, List$Element)                                                                                                                                    |  92,514   99%  |          8,124  |    9,534  |
|  List.isShorterThan(List$Element, List$Element)                                                                                                                                         |  81,722   88%  |         46,465  |    8,426  |
|  List$Element.getNext()                                                                                                                                                                 |  37,924   41%  |         37,924  |    3,912  |
|  List.makeList(int)                                                                                                                                                                     |     597    1%  |            457  |       61  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                                                            |     139    0%  |            139  |       14  |
|  List$Element.length()                                                                                                                                                                  |      39    0%  |             39  |        4  |
|  List.verifyResult(Object)                                                                                                                                                              |      12    0%  |             12  |        2  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                                         |       8    0%  |              0  |        3  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                                      |       8    0%  |              0  |        3  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                                  |       8    0%  |              0  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                                      |       8    0%  |              0  |        3  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                                                |       8    0%  |              0  |        3  |
