Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|                                                                                         Method                                                                                          |    Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                 |  101,181   99%  |          < 0.1  |   10,260  |
|  Run.runBenchmark()                                                                                                                                                                     |  101,176   99%  |          < 0.1  |   10,259  |
|  Run.doRuns(Benchmark)                                                                                                                                                                  |  101,166   99%  |              0  |   10,258  |
|  Run.measure(Benchmark, int)                                                                                                                                                            |  101,166   99%  |              0  |   10,258  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                                         |  101,131   99%  |              0  |   10,254  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                                     |  101,131   99%  |          < 0.1  |   10,254  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                                     |   64,652   64%  |              0  |    6,581  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                                    |   64,200   63%  |          4,997  |    6,538  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                                   |   61,769   61%  |          4,555  |    6,245  |
|  som.Set.add(Object)                                                                                                                                                                    |   38,236   38%  |             78  |    3,852  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                                      |   36,357   36%  |              0  |    3,660  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                                      |   36,067   36%  |         35,597  |    3,632  |
|  som.Set.hasSome(TestInterface)                                                                                                                                                         |   35,318   35%  |             59  |    3,557  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                                                |   35,120   35%  |             49  |    3,535  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                                             |   35,070   35%  |             58  |    3,530  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                                              |   35,039   35%  |            687  |    3,527  |
|  som.IdentitySet.contains(Object)                                                                                                                                                       |   34,679   34%  |              0  |    3,491  |
