Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  38,882   99%  |              0  |    4,080  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  38,882   99%  |              0  |    4,080  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  38,882   99%  |          < 0.1  |    4,080  |
|  Run.runBenchmark()                                                                                                                                                   |  38,882   99%  |              0  |    4,080  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  38,852   99%  |              0  |    4,077  |
|  Richards.benchmark()                                                                                                                                                 |  38,847   99%  |              0  |    4,076  |
|  richards.Scheduler.start()                                                                                                                                           |  38,847   99%  |          < 0.1  |    4,076  |
|  richards.Scheduler.schedule()                                                                                                                                        |  38,827   99%  |         11,252  |    4,074  |
|  richards.TaskControlBlock.runTask()                                                                                                                                  |  23,551   61%  |          6,536  |    2,464  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                                    |   8,653   22%  |          3,377  |      908  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                                     |   4,036   10%  |          1,702  |      421  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                               |   3,590    9%  |            633  |      378  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                          |   2,948    8%  |          2,948  |      314  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                                       |   2,196    6%  |            995  |      231  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                         |   1,559    4%  |          1,058  |      162  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                                     |   1,200    3%  |            721  |      126  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                             |     920    2%  |            427  |       97  |
|  richards.Scheduler.findTask(int)                                                                                                                                     |     909    2%  |            909  |       99  |
|  richards.Packet.setLink(Packet)                                                                                                                                      |     833    2%  |            833  |       86  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                                   |     789    2%  |            524  |       86  |
|  richards.TaskControlBlock.getLink()                                                                                                                                  |     701    2%  |            701  |       74  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                                     |     693    2%  |            693  |       71  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                                             |     674    2%  |            674  |       69  |
|  richards.Scheduler.release(int)                                                                                                                                      |     632    2%  |             34  |       68  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                                     |     618    2%  |            219  |       63  |
|  richards.Scheduler.holdSelf()                                                                                                                                        |     524    1%  |            474  |       55  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                                                      |     478    1%  |            478  |       48  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                                            |     429    1%  |            429  |       44  |
|  richards.TaskControlBlock.getIdentity()                                                                                                                              |     423    1%  |            423  |       45  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                                          |     389    1%  |            389  |       40  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                                        |     344    1%  |            344  |       35  |
|  richards.Packet.getDatum()                                                                                                                                           |     335    1%  |            335  |       35  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                                           |     331    1%  |            331  |       34  |
|  richards.Packet.getIdentity()                                                                                                                                        |     249    1%  |            249  |       27  |
|  richards.TaskState.running()                                                                                                                                         |     198    1%  |            198  |       22  |
|  richards.Packet.setIdentity(int)                                                                                                                                     |     193    0%  |            193  |       20  |
|  richards.IdleTaskDataRecord.setCount(int)                                                                                                                            |     178    0%  |            178  |       19  |
|  richards.TaskState.setPacketPending(boolean)                                                                                                                         |     139    0%  |            139  |       15  |
|  richards.TaskControlBlock.getPriority()                                                                                                                              |     104    0%  |            104  |       10  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                                           |      89    0%  |             89  |        9  |
|  richards.Packet.setDatum(int)                                                                                                                                        |      84    0%  |             84  |       11  |
|  richards.TaskState.packetPending()                                                                                                                                   |      54    0%  |             54  |        6  |
|  richards.WorkerTaskDataRecord.getCount()                                                                                                                             |      49    0%  |             49  |        5  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                                             |      29    0%  |              9  |        3  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                 |      29    0%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                 |      29    0%  |              0  |        3  |
|  Run.printResult(long, int)                                                                                                                                           |      29    0%  |              0  |        3  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                       |      19    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                 |      19    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.implFlush() BufferedOutputStream.java                                                                                                   |      19    0%  |              0  |        2  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                               |      19    0%  |              0  |        2  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                     |      19    0%  |              0  |        2  |
|  java.io.PrintStream.implWrite(byte[], int, int) PrintStream.java                                                                                                     |      19    0%  |              0  |        2  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                         |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                            |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                        |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.lockedFlushBuffer() StreamEncoder.java                                                                                                      |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                             |      19    0%  |              0  |        2  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                  |      13    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java  |      13    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |      13    0%  |              0  |        1  |
|  com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java                                                                          |      13    0%  |              0  |        1  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                     |      13    0%  |              0  |        1  |
|  java.util.AbstractSet.<init>() AbstractSet.java                                                                                                                      |      13    0%  |             13  |        1  |
|  java.util.TreeMap.keySet() TreeMap.java                                                                                                                              |      13    0%  |              0  |        1  |
|  java.util.TreeMap.navigableKeySet() TreeMap.java                                                                                                                     |      13    0%  |              0  |        1  |
