Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|                                                                                Method                                                                                 |    Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  101,267   99%  |              0  |   10,268  |
|  Run.runBenchmark()                                                                                                                                                   |  101,267   99%  |          < 0.1  |   10,268  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  101,257   99%  |              0  |   10,267  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  101,257   99%  |              9  |   10,267  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  101,145   99%  |              0  |   10,256  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  101,145   99%  |              8  |   10,256  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |   64,647   64%  |             19  |    6,587  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |   64,245   63%  |          5,521  |    6,547  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |   60,652   60%  |          4,243  |    6,127  |
|  som.Set.add(Object)                                                                                                                                                  |   38,204   38%  |             70  |    3,845  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |   36,381   36%  |              0  |    3,657  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |   35,952   35%  |         35,496  |    3,615  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |   35,311   35%  |             89  |    3,551  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                            |   35,113   35%  |            679  |    3,530  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |   35,026   35%  |             39  |    3,523  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |   34,986   35%  |             19  |    3,519  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |   34,714   34%  |              0  |    3,491  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                        |   34,434   34%  |              9  |    3,463  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |   21,667   21%  |              9  |    2,196  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |   16,249   16%  |             39  |    1,667  |
|  som.Vector.<init>(int)                                                                                                                                               |   14,645   14%  |         14,645  |    1,489  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                       |   12,776   13%  |          6,946  |    1,309  |
|  som.Vector.<init>()                                                                                                                                                  |   12,747   13%  |              0  |    1,296  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                    |    9,502    9%  |             29  |      968  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                           |    8,572    8%  |            803  |      866  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                 |    8,444    8%  |             88  |      862  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                |    7,768    8%  |            468  |      785  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000c9d78.apply(Object)                                                                                                     |    7,706    8%  |            229  |      787  |
|  havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1(int, Vector, Vector, Object)                                                                               |    7,477    7%  |          1,663  |      764  |
|  som.Vector.append(Object)                                                                                                                                            |    6,991    7%  |          6,836  |      714  |
|  havlak.HavlakLoopFinder$2.apply(Object)                                                                                                                              |    6,435    6%  |            841  |      652  |
|  havlak.HavlakLoopFinder.stepD(int, Vector)                                                                                                                           |    5,595    6%  |          1,291  |      570  |
|  havlak.HavlakLoopFinder$2.apply(BasicBlock)                                                                                                                          |    5,594    6%  |          1,063  |      565  |
|  havlak.UnionFindNode.findSet()                                                                                                                                       |    4,558    4%  |            991  |      466  |
|  havlak.HavlakLoopFinder$1.apply(Object)                                                                                                                              |    3,073    3%  |            606  |      317  |
|  som.Dictionary.atPut(Dictionary$CustomHash, Object)                                                                                                                  |    2,831    3%  |            926  |      289  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                             |    2,814    3%  |          1,842  |      284  |
|  som.Vector.at(int)                                                                                                                                                   |    2,768    3%  |          2,768  |      285  |
|  havlak.HavlakLoopFinder.setLoopAttributes(int, Vector, SimpleLoop)                                                                                                   |    2,755    3%  |            129  |      279  |
|  som.Set.<init>()                                                                                                                                                     |    2,567    3%  |              0  |      260  |
|  som.Set.<init>(int)                                                                                                                                                  |    2,567    3%  |            669  |      260  |
|  havlak.UnionFindNode.initNode(BasicBlock, int)                                                                                                                       |    2,548    3%  |          2,548  |      262  |
|  havlak.HavlakLoopFinder$1.apply(BasicBlock)                                                                                                                          |    2,467    2%  |             16  |      253  |
|  havlak.HavlakLoopFinder$4.apply(Object)                                                                                                                              |    2,279    2%  |             59  |      230  |
