Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                     Method                                                                                      |   Time (ms)    |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                         |  37,073   99%  |              0  |    3,885  |
|  Run.runBenchmark()                                                                                                                                                             |  37,071   99%  |          < 0.1  |    3,884  |
|  Run.doRuns(Benchmark)                                                                                                                                                          |  37,055   99%  |              0  |    3,882  |
|  Run.measure(Benchmark, int)                                                                                                                                                    |  37,055   99%  |          < 0.1  |    3,882  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                              |  37,002   99%  |              9  |    3,876  |
|  Json.benchmark()                                                                                                                                                               |  36,972   99%  |              0  |    3,873  |
|  json.JsonPureStringParser.parse()                                                                                                                                              |  36,972   99%  |              0  |    3,873  |
|  json.JsonPureStringParser.readObject()                                                                                                                                         |  36,972   99%  |            196  |    3,873  |
|  json.JsonPureStringParser.readValue()                                                                                                                                          |  36,972   99%  |            778  |    3,873  |
|  json.JsonPureStringParser.readArray()                                                                                                                                          |  36,876   99%  |            290  |    3,864  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                                 |  13,023   35%  |          1,059  |    1,375  |
|  java.lang.String.equals(Object) String.java                                                                                                                                    |  12,807   34%  |         12,807  |    1,343  |
|  json.JsonPureStringParser.read()                                                                                                                                               |  10,315   28%  |          2,333  |    1,079  |
|  json.JsonPureStringParser.readString()                                                                                                                                         |   8,432   23%  |             94  |      896  |
|  som.Vector.append(Object)                                                                                                                                                      |   5,668   15%  |          5,633  |      594  |
|  json.JsonArray.add(JsonValue)                                                                                                                                                  |   5,471   15%  |              0  |      574  |
|  json.JsonPureStringParser.readNumber()                                                                                                                                         |   5,336   14%  |             84  |      548  |
|  java.lang.Character.toString(char) Character.java                                                                                                                              |   5,150   14%  |              0  |      535  |
|  java.lang.String.valueOf(char) String.java                                                                                                                                     |   5,150   14%  |          2,571  |      535  |
