Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                         Method                                                                                          |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                 |  37,319   99%  |              0  |    3,919  |
|  Run.runBenchmark()                                                                                                                                                                     |  37,319   99%  |              0  |    3,919  |
|  Run.doRuns(Benchmark)                                                                                                                                                                  |  37,308   99%  |              0  |    3,918  |
|  Run.measure(Benchmark, int)                                                                                                                                                            |  37,308   99%  |          < 0.1  |    3,918  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                      |  37,276   99%  |          < 0.1  |    3,913  |
|  Json.benchmark()                                                                                                                                                                       |  37,256   99%  |              0  |    3,911  |
|  json.JsonPureStringParser.parse()                                                                                                                                                      |  37,256   99%  |              0  |    3,911  |
|  json.JsonPureStringParser.readObject()                                                                                                                                                 |  37,256   99%  |             80  |    3,911  |
|  json.JsonPureStringParser.readValue()                                                                                                                                                  |  37,256   99%  |            809  |    3,911  |
|  json.JsonPureStringParser.readArray()                                                                                                                                                  |  37,187   99%  |            274  |    3,904  |
|  java.lang.String.equals(Object) String.java                                                                                                                                            |  17,861   48%  |         17,861  |    1,868  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                                         |  13,123   35%  |            956  |    1,387  |
|  json.JsonPureStringParser.read()                                                                                                                                                       |  11,021   30%  |          2,418  |    1,162  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                                             |   9,979   27%  |            179  |    1,038  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                                               |   9,799   26%  |            986  |    1,019  |
|  json.JsonPureStringParser.readString()                                                                                                                                                 |   8,643   23%  |            133  |      911  |
|  java.lang.Character.toString(char) Character.java                                                                                                                                      |   5,252   14%  |              0  |      559  |
|  java.lang.String.valueOf(char) String.java                                                                                                                                             |   5,252   14%  |          2,208  |      559  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                                             |   4,901   13%  |            266  |      516  |
|  json.JsonPureStringParser.readNumber()                                                                                                                                                 |   4,890   13%  |             47  |      517  |
|  json.JsonPureStringParser.readName()                                                                                                                                                   |   4,730   13%  |             76  |      502  |
|  json.JsonPureStringParser.endCapture()                                                                                                                                                 |   4,642   12%  |            287  |      489  |
|  json.JsonPureStringParser.subStringFromTo(int, int)                                                                                                                                    |   4,355   12%  |            984  |      459  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                                  |   3,488    9%  |            252  |      370  |
|  java.lang.StringLatin1.toBytes(char) StringLatin1.java                                                                                                                                 |   3,043    8%  |          3,043  |      323  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                                    |   2,435    7%  |            279  |      258  |
|  json.JsonPureStringParser.readNull()                                                                                                                                                   |   1,395    4%  |             69  |      148  |
|  java.lang.AbstractStringBuilder.append(char) AbstractStringBuilder.java                                                                                                                |   1,293    3%  |            814  |      136  |
|  java.lang.StringBuilder.append(char) StringBuilder.java                                                                                                                                |   1,293    3%  |              0  |      136  |
|  java.lang.String.charAt(int) String.java                                                                                                                                               |   1,024    3%  |          < 0.1  |      107  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                                                     |     993    3%  |             13  |      107  |
|  java.lang.StringBuilder.toString() StringBuilder.java                                                                                                                                  |     829    2%  |            487  |       88  |
|  som.Vector.append(Object)                                                                                                                                                              |     708    2%  |            708  |       72  |
|  som.Vector.<init>(int)                                                                                                                                                                 |     694    2%  |            694  |       73  |
|  som.Vector.<init>()                                                                                                                                                                    |     694    2%  |              0  |       73  |
|  java.lang.String.isLatin1() String.java                                                                                                                                                |     678    2%  |            678  |       70  |
|  json.JsonArray.add(JsonValue)                                                                                                                                                          |     548    1%  |              0  |       57  |
|  java.lang.AbstractStringBuilder.<init>(int) AbstractStringBuilder.java                                                                                                                 |     547    1%  |            547  |       58  |
|  java.lang.StringBuilder.<init>(int) StringBuilder.java                                                                                                                                 |     547    1%  |              0  |       58  |
|  json.JsonArray.<init>()                                                                                                                                                                |     518    1%  |             69  |       53  |
|  java.lang.StringLatin1.charAt(byte[], int) StringLatin1.java                                                                                                                           |     426    1%  |            274  |       45  |
|  json.JsonObject.<init>()                                                                                                                                                               |     417    1%  |             99  |       46  |
|  java.lang.String.hashCode() String.java                                                                                                                                                |     416    1%  |            283  |       43  |
|  java.lang.String.<init>(AbstractStringBuilder, Void) String.java                                                                                                                       |     342    1%  |              9  |       37  |
|  java.lang.String.<init>(StringBuilder) String.java                                                                                                                                     |     342    1%  |              0  |       37  |
|  java.lang.AbstractStringBuilder.ensureCapacityInternal(int) AbstractStringBuilder.java                                                                                                 |     297    1%  |            297  |       32  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                                                             |     247    1%  |              9  |       27  |
