Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                   Method                                                                                   |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                    |  92,043  100%  |              0  |    9,504  |
|  Run.runBenchmark()                                                                                                                                                        |  92,043  100%  |          < 0.1  |    9,504  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  92,033   99%  |              0  |    9,503  |
|  Run.measure(Benchmark, int)                                                                                                                                               |  92,033   99%  |              0  |    9,503  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                         |  92,023   99%  |              0  |    9,502  |
|  List.benchmark()                                                                                                                                                          |  92,013   99%  |             19  |    9,501  |
|  List.tail(List$Element, List$Element, List$Element)                                                                                                                       |  91,532   99%  |          6,966  |    9,452  |
|  List.isShorterThan(List$Element, List$Element)                                                                                                                            |  75,769   82%  |         41,413  |    7,815  |
|  List$Element.getNext()                                                                                                                                                    |  43,152   47%  |         43,152  |    4,456  |
|  List.makeList(int)                                                                                                                                                        |     410    0%  |            310  |       42  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                                               |      99    0%  |             99  |       10  |
|  List$Element.length()                                                                                                                                                     |      49    0%  |             49  |        5  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                            |      19    0%  |              0  |        2  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                         |      19    0%  |              0  |        2  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                     |      19    0%  |              0  |        2  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                         |      19    0%  |              0  |        2  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                                   |      19    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                              |      19    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                                 |      19    0%  |              0  |        2  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, String[]) StringConcatFactory.java                                                                  |      19    0%  |              0  |        2  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                         |      19    0%  |              0  |        2  |
|  List.verifyResult(Object)                                                                                                                                                 |       9    0%  |              9  |        1  |
|  java.lang.invoke.LambdaForm.create(int, LambdaForm$Name[], int, boolean, MethodHandle, LambdaForm$Kind) LambdaForm.java                                                   |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm.create(int, LambdaForm$Name[], int) LambdaForm.java                                                                                           |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm.normalizeNames(int, LambdaForm$Name[]) LambdaForm.java                                                                                        |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm$Name.<init>(LambdaForm$NamedFunction, Object[]) LambdaForm.java                                                                               |       9    0%  |              9  |        1  |
|  java.lang.invoke.LambdaForm$Name.replaceNames(LambdaForm$Name[], LambdaForm$Name[], int, int) LambdaForm.java                                                             |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaFormBuffer.endEdit() LambdaFormBuffer.java                                                                                                         |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaFormBuffer.lambdaForm() LambdaFormBuffer.java                                                                                                      |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaFormEditor.addArgumentForm(int, LambdaForm$BasicType) LambdaFormEditor.java                                                                        |       9    0%  |              0  |        1  |
|  java.lang.invoke.MethodHandles.dropArgumentsTrusted(MethodHandle, int, Class[]) MethodHandles.java                                                                        |       9    0%  |              0  |        1  |
|  Run.printResult(long, int)                                                                                                                                                |       9    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                                                  |       9    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLL.copyWithExtendL(MethodType, LambdaForm, Object) java/lang/invoke/BoundMethodHandle$Species_LLLL                           |       9    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLLL.<init>(MethodType, LambdaForm, Object, Object, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLLLL  |       9    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLLL.make(MethodType, LambdaForm, Object, Object, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLLLL    |       9    0%  |              0  |        1  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                         |       9    0%  |              0  |        1  |
|  java.lang.invoke.InvokerBytecodeGenerator.addMethod() InvokerBytecodeGenerator.java                                                                                       |       9    0%  |              0  |        1  |
