Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                        Method                                                                        |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                              |  41,628  100%  |              0  |    4,351  |
|  Run.runBenchmark()                                                                                                                                  |  41,628  100%  |              0  |    4,351  |
|  Run.doRuns(Benchmark)                                                                                                                               |  41,618   99%  |              0  |    4,350  |
|  Run.measure(Benchmark, int)                                                                                                                         |  41,618   99%  |          < 0.1  |    4,350  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                   |  41,578   99%  |              0  |    4,346  |
|  Richards.benchmark()                                                                                                                                |  41,578   99%  |              0  |    4,346  |
|  richards.Scheduler.schedule()                                                                                                                       |  41,568   99%  |          6,498  |    4,345  |
|  richards.Scheduler.start()                                                                                                                          |  41,568   99%  |              0  |    4,345  |
|  richards.TaskControlBlock.runTask()                                                                                                                 |  30,715   74%  |          8,073  |    3,216  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                                   |   8,246   20%  |          3,250  |      862  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                            |   6,032   14%  |          6,032  |      632  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                                    |   4,588   11%  |          1,864  |      489  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                              |   4,194   10%  |            526  |      438  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                         |   3,251    8%  |          3,251  |      340  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                                      |   2,493    6%  |          1,122  |      266  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                        |   1,986    5%  |          1,233  |      210  |
|  richards.RBObject.append(Packet, Packet)                                                                                                            |   1,038    2%  |            515  |      107  |
|  richards.Scheduler.findTask(int)                                                                                                                    |     987    2%  |            987  |      104  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                                    |     975    2%  |            575  |      102  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                  |     869    2%  |            553  |       90  |
|  richards.Packet.setLink(Packet)                                                                                                                     |     857    2%  |            857  |       89  |
|  richards.Scheduler.release(int)                                                                                                                     |     699    2%  |             88  |       77  |
|  richards.TaskControlBlock.getIdentity()                                                                                                             |     675    2%  |            675  |       70  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                    |     616    1%  |            616  |       67  |
|  richards.Scheduler.holdSelf()                                                                                                                       |     600    1%  |            537  |       63  |
|  richards.TaskControlBlock.getLink()                                                                                                                 |     491    1%  |            491  |       51  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                         |     488    1%  |            488  |       51  |
|  richards.Packet.getIdentity()                                                                                                                       |     462    1%  |            462  |       47  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                    |     353    1%  |            132  |       38  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                                     |     353    1%  |            353  |       37  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                          |     328    1%  |            328  |       38  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                           |     314    1%  |            314  |       35  |
|  richards.Packet.getDatum()                                                                                                                          |     273    1%  |            273  |       30  |
