Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  94,663   99%  |              0  |    9,603  |
|  Run.runBenchmark()                                                                                                                                                   |  94,663   99%  |              0  |    9,603  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  94,652   99%  |              0  |    9,602  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  94,652   99%  |          < 0.1  |    9,602  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  94,575   99%  |          < 0.1  |    9,595  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  94,569   99%  |              9  |    9,594  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  60,549   64%  |          4,166  |    6,128  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |  57,967   61%  |             39  |    5,909  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |  57,568   61%  |          4,962  |    5,869  |
|  som.Set.add(Object)                                                                                                                                                  |  38,102   40%  |             69  |    3,843  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |  36,452   38%  |              0  |    3,670  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |  35,469   37%  |         35,031  |    3,575  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |  34,910   37%  |             58  |    3,518  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                            |  34,898   37%  |            831  |    3,515  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |  34,726   37%  |             69  |    3,496  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |  34,656   37%  |             19  |    3,489  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |  34,336   36%  |              0  |    3,458  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                        |  34,067   36%  |             67  |    3,430  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |  18,834   20%  |              9  |    1,909  |
|  som.Vector.<init>(int)                                                                                                                                               |  13,654   14%  |         13,654  |    1,397  |
|  som.Vector.<init>()                                                                                                                                                  |  12,199   13%  |              0  |    1,249  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |  11,565   12%  |             29  |    1,177  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                    |   9,574   10%  |             19  |      970  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                           |   8,522    9%  |            762  |      871  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                 |   8,189    9%  |             73  |      833  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                       |   7,908    8%  |          2,187  |      805  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                |   7,751    8%  |            436  |      791  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000c9d78.apply(Object)                                                                                                     |   7,404    8%  |            223  |      753  |
|  som.Vector.append(Object)                                                                                                                                            |   7,400    8%  |          7,127  |      750  |
|  havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1(int, Vector, Vector, Object)                                                                               |   7,180    8%  |          1,604  |      731  |
|  havlak.HavlakLoopFinder$2.apply(Object)                                                                                                                              |   6,411    7%  |            860  |      653  |
|  havlak.HavlakLoopFinder$2.apply(BasicBlock)                                                                                                                          |   5,551    6%  |            914  |      566  |
|  havlak.HavlakLoopFinder.stepD(int, Vector)                                                                                                                           |   5,086    5%  |          1,151  |      522  |
|  havlak.UnionFindNode.findSet()                                                                                                                                       |   4,697    5%  |            978  |      480  |
|  havlak.UnionFindNode.initNode(BasicBlock, int)                                                                                                                       |   3,222    3%  |          3,222  |      330  |
|  havlak.HavlakLoopFinder$1.apply(Object)                                                                                                                              |   3,196    3%  |            782  |      325  |
|  havlak.HavlakLoopFinder.setLoopAttributes(int, Vector, SimpleLoop)                                                                                                   |   2,989    3%  |            159  |      307  |
|  som.Dictionary.atPut(Dictionary$CustomHash, Object)                                                                                                                  |   2,825    3%  |            962  |      287  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                             |   2,730    3%  |          1,604  |      277  |
|  havlak.HavlakLoopFinder$4.apply(Object)                                                                                                                              |   2,452    3%  |             79  |      252  |
|  havlak.HavlakLoopFinder$1.apply(BasicBlock)                                                                                                                          |   2,414    3%  |             49  |      246  |
|  havlak.HavlakLoopFinder$4.apply(UnionFindNode)                                                                                                                       |   2,373    3%  |             89  |      244  |
|  som.Vector.at(int)                                                                                                                                                   |   2,285    2%  |          2,285  |      235  |
|  havlak.LoopStructureGraph.createNewLoop(BasicBlock, boolean)                                                                                                         |   2,208    2%  |            129  |      225  |
|  som.Set.<init>()                                                                                                                                                     |   2,182    2%  |              2  |      223  |
|  som.Set.<init>(int)                                                                                                                                                  |   2,180    2%  |            734  |      222  |
|  havlak.HavlakLoopFinder$5.apply(Object)                                                                                                                              |   1,768    2%  |            264  |      182  |
|  havlak.SimpleLoop.<init>(BasicBlock, boolean)                                                                                                                        |   1,583    2%  |            397  |      162  |
|  havlak.HavlakLoopFinder$5.apply(Integer)                                                                                                                             |   1,504    2%  |             58  |      155  |
|  havlak.LoopStructureGraph.calculateNestingLevelRec(SimpleLoop, int)                                                                                                  |   1,493    2%  |          < 0.1  |      149  |
|  havlak.LoopStructureGraph$2.apply(Object)                                                                                                                            |   1,373    1%  |            480  |      137  |
|  havlak.LoopStructureGraph$2.apply(SimpleLoop)                                                                                                                        |   1,304    1%  |             19  |      130  |
