Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                   Method                                                                    |   Time (ms)    |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                     |  40,653  100%  |              0  |    4,294  |
|  Run.runBenchmark()                                                                                                                         |  40,653  100%  |          < 0.1  |    4,294  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                          |  40,643   99%  |              0  |    4,293  |
|  Richards.benchmark()                                                                                                                       |  40,643   99%  |              0  |    4,293  |
|  richards.Scheduler.start()                                                                                                                 |  40,643   99%  |          < 0.1  |    4,293  |
|  Run.doRuns(Benchmark)                                                                                                                      |  40,643   99%  |              0  |    4,293  |
|  Run.measure(Benchmark, int)                                                                                                                |  40,643   99%  |              0  |    4,293  |
|  richards.Scheduler.schedule()                                                                                                              |  40,625   99%  |          6,577  |    4,290  |
|  richards.TaskControlBlock.runTask()                                                                                                        |  29,725   73%  |          7,160  |    3,137  |
|  richards.Scheduler$HandlerProcessFunction.apply(Packet, RBObject)                                                                          |   8,399   21%  |          3,385  |      885  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                   |   5,584   14%  |          5,584  |      593  |
|  richards.Scheduler$DeviceProcessFunction.apply(Packet, RBObject)                                                                           |   4,789   12%  |          1,918  |      512  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                     |   3,991   10%  |            510  |      424  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                |   3,367    8%  |          3,367  |      353  |
|  richards.Scheduler$IdleProcessFunction.apply(Packet, RBObject)                                                                             |   2,270    6%  |          1,022  |      239  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                               |   1,728    4%  |          1,078  |      183  |
|  richards.Scheduler$WorkerProcessFunction.apply(Packet, RBObject)                                                                           |   1,143    3%  |            761  |      121  |
|  richards.Scheduler.findTask(int)                                                                                                           |   1,066    3%  |          1,066  |      114  |
|  richards.RBObject.append(Packet, Packet)                                                                                                   |   1,047    3%  |            535  |      108  |
|  richards.Packet.setLink(Packet)                                                                                                            |     839    2%  |            839  |       88  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                         |     818    2%  |            442  |       86  |
|  richards.Scheduler.holdSelf()                                                                                                              |     660    2%  |            570  |       70  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                           |     624    2%  |            624  |       66  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                |     565    1%  |            565  |       59  |
|  richards.Scheduler.release(int)                                                                                                            |     556    1%  |              9  |       60  |
|  richards.TaskControlBlock.getLink()                                                                                                        |     545    1%  |            545  |       57  |
|  richards.TaskControlBlock.getIdentity()                                                                                                    |     499    1%  |            499  |       55  |
|  richards.HandlerTaskDataRecord.deviceIn(Packet)                                                                                            |     492    1%  |            492  |       52  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                           |     448    1%  |            206  |       47  |
|  richards.Packet.getIdentity()                                                                                                              |     407    1%  |            407  |       44  |
|  richards.HandlerTaskDataRecord.deviceIn()                                                                                                  |     383    1%  |            383  |       41  |
|  richards.Packet.getDatum()                                                                                                                 |     307    1%  |            307  |       34  |
|  richards.Packet.setIdentity(int)                                                                                                           |     274    1%  |            274  |       30  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                 |     253    1%  |            253  |       27  |
|  richards.TaskState.running()                                                                                                               |     252    1%  |            252  |       25  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                              |     237    1%  |            237  |       27  |
|  richards.TaskState.setPacketPending(boolean)                                                                                               |     164    0%  |            164  |       17  |
|  richards.TaskState.packetPending()                                                                                                         |     124    0%  |            124  |       14  |
|  richards.IdleTaskDataRecord.setCount(int)                                                                                                  |     115    0%  |            115  |       12  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                 |      89    0%  |             89  |       10  |
|  richards.Packet.setDatum(int)                                                                                                              |      73    0%  |             73  |        9  |
|  richards.TaskControlBlock.getPriority()                                                                                                    |      53    0%  |             53  |        6  |
|  richards.WorkerTaskDataRecord.getCount()                                                                                                   |      49    0%  |             49  |        5  |
|  richards.Packet.getLink()                                                                                                                  |      37    0%  |             37  |        4  |
|  richards.Packet.getData()                                                                                                                  |      19    0%  |             19  |        2  |
|  richards.Scheduler.createIdler(int, int, Packet, TaskState)                                                                                |       9    0%  |              0  |        1  |
